# Matter power spectrum P(k) at redshift z=4
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039438893066e-05       1.870901827398e+00 
       1.088426138884e-05       1.957541247620e+00 
       1.139722082470e-05       2.048192785557e+00 
       1.193435529399e-05       2.143042248238e+00 
       1.249680413092e-05       2.242284037018e+00 
       1.308576036488e-05       2.346121539654e+00 
       1.370247325102e-05       2.454767569209e+00 
       1.434825092005e-05       2.568444784274e+00 
       1.502446315298e-05       2.687386176240e+00 
       1.573254428662e-05       2.811835487566e+00 
       1.647399625600e-05       2.942047765829e+00 
       1.725039178014e-05       3.078289885737e+00 
       1.806337769805e-05       3.220841003338e+00 
       1.891467846185e-05       3.369993324906e+00 
       1.980609979461e-05       3.526052468726e+00 
       2.073953252048e-05       3.689338243733e+00 
       2.171695657542e-05       3.860185237715e+00 
       2.274044520691e-05       4.038943614491e+00 
       2.381216937154e-05       4.225979621038e+00 
       2.493440233996e-05       4.421676531743e+00 
       2.610952451876e-05       4.626435355352e+00 
       2.734002849963e-05       4.840675633876e+00 
       2.862852434649e-05       5.064836320727e+00 
       2.997774513178e-05       5.299376726185e+00 
       3.139055273368e-05       5.544777369909e+00 
       3.286994390653e-05       5.801541015504e+00 
       3.441905663736e-05       6.070193698658e+00 
       3.604117680196e-05       6.351285722707e+00 
       3.773974513469e-05       6.645392970114e+00 
       3.951836452669e-05       6.953117826637e+00 
       4.138080766818e-05       7.275090594935e+00 
       4.333102505076e-05       7.611970721195e+00 
       4.537315334696e-05       7.964448117034e+00 
       4.751152418469e-05       8.333244589159e+00 
       4.975067333520e-05       8.719115276947e+00 
       5.209535033404e-05       9.122850256483e+00 
       5.455052855549e-05       9.545275991569e+00 
       5.712141576172e-05       9.987257283942e+00 
       5.981346514918e-05       1.044969865007e+01 
       6.263238691556e-05       1.093354653150e+01 
       6.558416037185e-05       1.143979093777e+01 
       6.867504662531e-05       1.196946755191e+01 
       7.191160186009e-05       1.252365983466e+01 
       7.530069124377e-05       1.310350108079e+01 
       7.884950348932e-05       1.371017689573e+01 
       8.256556610330e-05       1.434492735716e+01 
       8.645676135275e-05       1.500904968463e+01 
       9.053134298449e-05       1.570390067940e+01 
       9.479795373245e-05       1.643089953775e+01 
       9.926564365005e-05       1.719153056034e+01 
       1.039438893066e-04       1.798734612835e+01 
       1.088426138884e-04       1.881996984896e+01 
       1.139722082470e-04       1.969109956815e+01 
       1.193435529399e-04       2.060251083094e+01 
       1.249680413092e-04       2.155606027548e+01 
       1.308576036488e-04       2.255368925942e+01 
       1.370247325102e-04       2.359742754731e+01 
       1.434825092005e-04       2.468939721758e+01 
       1.502446315298e-04       2.583181665198e+01 
       1.573254428662e-04       2.702700494292e+01 
       1.647399625600e-04       2.827738576518e+01 
       1.725039178014e-04       2.958549233302e+01 
       1.806337769805e-04       3.095397176361e+01 
       1.891467846185e-04       3.238559003055e+01 
       1.980609979461e-04       3.388323684069e+01 
       2.073953252048e-04       3.544993068198e+01 
       2.171695657542e-04       3.708882435220e+01 
       2.274044520691e-04       3.880320979593e+01 
       2.381216937154e-04       4.059652441128e+01 
       2.493440233996e-04       4.247235594646e+01 
       2.610952451876e-04       4.443444881658e+01 
       2.734002849963e-04       4.648670972905e+01 
       2.862852434649e-04       4.863321369846e+01 
       2.997774513178e-04       5.087821006370e+01 
       3.139055273368e-04       5.322612856453e+01 
       3.286994390653e-04       5.568158548326e+01 
       3.441905663736e-04       5.824938951583e+01 
       3.604117680196e-04       6.093454805345e+01 
       3.773974513469e-04       6.374227273951e+01 
