# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -5.513124026036e-04      -4.135664867102e-04      -4.135664957592e-04      -5.513097666210e-04      -4.135729154960e-04      -4.136877631083e-04       5.917566665761e-01       5.912150605953e-01       8.271329915184e-04       1.800673000930e-07       9.999986298272e-01      -6.218984367646e-11       1.963524178019e-10      -1.751415155989e-14      -3.628172213436e-11      -2.994611057068e-15      -3.727859605824e-11      -4.352547061999e-14 
       1.088426138884e-05      -6.044903747223e-04      -4.534665879227e-04      -4.534665988021e-04      -6.044872055929e-04      -4.534736376625e-04      -4.535995553363e-04       5.917565805481e-01       5.912149897701e-01       9.069331976041e-04       1.974398403845e-07       9.999984976390e-01      -6.818877003669e-11       2.152911429291e-10      -1.920358265984e-14      -4.361961401590e-11      -3.600268189220e-15      -4.481810123801e-11      -5.232839305039e-14 
       1.139722082470e-05      -6.627964990962e-04      -4.972161651218e-04      -4.972161782016e-04      -6.627926890273e-04      -4.972238958966e-04      -4.973619495538e-04       5.917564812890e-01       5.912149071311e-01       9.944323564031e-04       2.164884490255e-07       9.999983526995e-01      -7.476639261420e-11       2.360560387960e-10      -2.105594474523e-14      -5.244151548806e-11      -4.328428961154e-15      -5.388237914140e-11      -6.291160894319e-14 
       1.193435529399e-05      -7.267250602697e-04      -5.451866115769e-04      -5.451866273021e-04      -7.267204796432e-04      -5.451950893524e-04      -5.453464472772e-04       5.917563738141e-01       5.912148179262e-01       1.090373254604e-03       2.373748259955e-07       9.999981937773e-01      -8.197834343545e-11       2.588230703992e-10      -2.308694650613e-14      -6.304751338838e-11      -5.203906150642e-15      -6.477977433738e-11      -7.563513133227e-14 
       1.249680413092e-05      -7.968179228202e-04      -5.977851431003e-04      -5.977851620061e-04      -7.968124157750e-04      -5.977944402071e-04      -5.979603829287e-04       5.917562538123e-01       5.912147180141e-01       1.195570324012e-03       2.602762766421e-07       9.999980195251e-01      -8.988573393243e-11       2.837851483643e-10      -2.531380814868e-14      -7.579837332961e-11      -6.256477280120e-15      -7.788097672784e-11      -9.093175952730e-14 
       1.308576036488e-05      -8.736691276208e-04      -6.554582729587e-04      -6.554582956882e-04      -8.736625068402e-04      -6.554684685781e-04      -6.556503997355e-04       5.917561266200e-01       5.912146127406e-01       1.310916591376e-03       2.853872058988e-07       9.999978284610e-01      -9.855573611706e-11       3.111537907379e-10      -2.775540504906e-14      -9.112786423224e-11      -7.521836230510e-15      -9.363162828911e-11      -1.093218269729e-13 
       1.370247325102e-05      -9.579298803156e-04      -7.186955867125e-04      -7.186956140390e-04      -9.579219205998e-04      -7.187067677438e-04      -7.189062256423e-04       5.917559911182e-01       5.912145011972e-01       1.437391228078e-03       3.129207778351e-07       9.999976189644e-01      -1.080619790075e-10       3.411608215277e-10      -3.043243315826e-14      -1.095574129571e-10      -9.043018264604e-15      -1.125674725214e-10      -1.314308597024e-13 
       1.434825092005e-05      -1.050314012008e-03      -7.880338779505e-04      -7.880339108039e-04      -1.050304442537e-03      -7.880461399611e-04      -7.882648102151e-04       5.917558273417e-01       5.912143637791e-01       1.576067821608e-03       3.431107375782e-07       9.999973892588e-01      -1.184862288830e-10       3.740603110264e-10      -3.336758289569e-14      -1.317138073144e-10      -1.087193746893e-14      -1.353325626480e-10      -1.580108349291e-13 
       1.502446315298e-05      -1.151604091773e-03      -8.640617810100e-04      -8.640618205074e-04      -1.151592587201e-03      -8.640752284823e-04      -8.643149586667e-04       5.917556554513e-01       5.912142206953e-01       1.728123641015e-03       3.762133484212e-07       9.999971373933e-01      -1.299125428025e-10       4.101308663946e-10      -3.658572320143e-14      -1.583506932311e-10      -1.307047276620e-14      -1.627011729889e-10      -1.899657770406e-13 
       1.573254428662e-05      -1.262657918894e-03      -9.474246977759e-04      -9.474247452615e-04      -1.262644087776e-03      -9.474394458981e-04      -9.477022600414e-04       5.917554770615e-01       5.912140739934e-01       1.894849490523e-03       4.125096102811e-07       9.999968612324e-01      -1.424420169417e-10       4.496777485700e-10      -4.011412490972e-14      -1.903738891120e-10      -1.571388850102e-14      -1.956040976705e-10      -2.283824744281e-13 
       1.647399625600e-05      -1.384415711422e-03      -1.038830259468e-03      -1.038830316557e-03      -1.384399083255e-03      -1.038846434564e-03      -1.039134550525e-03       5.917552717245e-01       5.912139034671e-01       2.077660633115e-03       4.523076558902e-07       9.999965584308e-01      -1.561794352835e-10       4.930356021144e-10      -4.398267425468e-14      -2.288724388467e-10      -1.889209589390e-14      -2.351602854416e-10      -2.745673970186e-13 
       1.725039178014e-05      -1.517908114846e-03      -1.139054416738e-03      -1.139054485374e-03      -1.517888123985e-03      -1.139072157096e-03      -1.139388005242e-03       5.917550490464e-01       5.912137189202e-01       2.278108970748e-03       4.959453141881e-07       9.999962264211e-01      -1.712412317590e-10       5.405712534270e-10      -4.822413183138e-14      -2.751555738521e-10      -2.271281894485e-14      -2.827148736833e-10      -3.300910830252e-13 
       1.806337769805e-05      -1.664264711772e-03      -1.248947922974e-03      -1.248948005492e-03      -1.664240678375e-03      -1.248967380378e-03      -1.249313623346e-03       5.917547887908e-01       5.912135003860e-01       2.497896010984e-03       5.437930423569e-07       9.999958623827e-01      -1.877555030330e-10       5.926867148184e-10      -5.287440536334e-14      -3.307971736746e-10      -2.730592685385e-14      -3.398848831185e-10      -3.968415867094e-13 
