# Matter power spectrum P(k) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039441571510e-05       4.240023944827e-03 
       1.088428943559e-05       4.436375511361e-03 
       1.139725019325e-05       4.641819858225e-03 
       1.193438604663e-05       4.856778092481e-03 
       1.249683633289e-05       5.081690362230e-03 
       1.308579408449e-05       5.317018507992e-03 
       1.370250855978e-05       5.563244388745e-03 
       1.434828789286e-05       5.820872716231e-03 
       1.502450186827e-05       6.090431520102e-03 
       1.573258482650e-05       6.372473281766e-03 
       1.647403870647e-05       6.667575976186e-03 
       1.725043623124e-05       6.976344545188e-03 
       1.806342424406e-05       7.299411729083e-03 
       1.891472720151e-05       7.637440876543e-03 
       1.980615083129e-05       7.991122490961e-03 
       2.073958596245e-05       8.361182594676e-03 
       2.171701253604e-05       8.748379639138e-03 
       2.274050380486e-05       9.153507221655e-03 
       2.381223073113e-05       9.577395547028e-03 
       2.493446659134e-05       1.002091379784e-02 
       2.610959179822e-05       1.048496969190e-02 
       2.734009894987e-05       1.097051594390e-02 
       2.862859811694e-05       1.147854632669e-02 
       2.997782237893e-05       1.201010280397e-02 
       3.139063362138e-05       1.256627450709e-02 
       3.287002860635e-05       1.314820123725e-02 
       3.441914532896e-05       1.375707589991e-02 
       3.604126967346e-05       1.439414591030e-02 
       3.773984238309e-05       1.506071594239e-02 
       3.951846635827e-05       1.575815429717e-02 
       4.138091429893e-05       1.648788742817e-02 
       4.333113670686e-05       1.725141292027e-02 
       4.537327026525e-05       1.805029413062e-02 
       4.751164661317e-05       1.888616893150e-02 
       4.975080153356e-05       1.976074908281e-02 
       5.209548457420e-05       2.067582791054e-02 
       5.455066912219e-05       2.163327943131e-02 
       5.712156295313e-05       2.263506560228e-02 
       5.981361927751e-05       2.368323864712e-02 
       6.263254830773e-05       2.477994658068e-02 
       6.558432937020e-05       2.592743615494e-02 
       6.867522358831e-05       2.712805733455e-02 
       7.191178716309e-05       2.838427046912e-02 
       7.530088527984e-05       2.969864875595e-02 
       7.884970667002e-05       3.107388354756e-02 
       8.256577885962e-05       3.251279192764e-02 
       8.645698413597e-05       3.401832189162e-02 
       9.053157626715e-05       3.559355520357e-02 
       9.479819800938e-05       3.724171776902e-02 
       9.926589943941e-05       3.896618409259e-02 
       1.039441571510e-04       4.077048516133e-02 
       1.088428943559e-04       4.265831396475e-02 
       1.139725019325e-04       4.463353439453e-02 
       1.193438604663e-04       4.670018925291e-02 
       1.249683633289e-04       4.886250755776e-02 
       1.308579408449e-04       5.112491322445e-02 
       1.370250855978e-04       5.349203344264e-02 
       1.434828789286e-04       5.596871017729e-02 
       1.502450186827e-04       5.856000707843e-02 
       1.573258482650e-04       6.127122145495e-02 
       1.647403870647e-04       6.410789480045e-02 
       1.725043623124e-04       6.707582276596e-02 
       1.806342424406e-04       7.018106750235e-02 
       1.891472720151e-04       7.342996963336e-02 
       1.980615083129e-04       7.682916086779e-02 
       2.073958596245e-04       8.038557662406e-02 
       2.171701253604e-04       8.410646950232e-02 
       2.274050380486e-04       8.799942495022e-02 
       2.381223073113e-04       9.207237439087e-02 
       2.493446659134e-04       9.633361100195e-02 
       2.610959179822e-04       1.007918062097e-01 
       2.734009894987e-04       1.054560255430e-01 
       2.862859811694e-04       1.103357463409e-01 
       2.997782237893e-04       1.154408762625e-01 
       3.139063362138e-04       1.207817703981e-01 
       3.287002860635e-04       1.263692502131e-01 
       3.441914532896e-04       1.322146251896e-01 
       3.604126967346e-04       1.383297141083e-01 
       3.773984238309e-04       1.447268612932e-01 
       3.951846635827e-04       1.514189638975e-01 
       4.138091429893e-04       1.584194914770e-01 
       4.333113670686e-04       1.657425092895e-01 
       4.537327026525e-04       1.734027022879e-01 
       4.751164661317e-04       1.814153982445e-01 
       4.975080153356e-04       1.897965958388e-01 
       5.209548457420e-04       1.985629810380e-01 
       5.455066912219e-04       2.077319634053e-01 
       5.712156295313e-04       2.173216918769e-01 
       5.981361927751e-04       2.273510853254e-01 
       6.263254830773e-04       2.378398564085e-01 
       6.558432937020e-04       2.488085336767e-01 
       6.867522358831e-04       2.602784908604e-01 
       7.191178716309e-04       2.722719665007e-01 
       7.530088527984e-04       2.848120873573e-01 
       7.884970667002e-04       2.979228862528e-01 
       8.256577885962e-04       3.116293269959e-01 
       8.645698413597e-04       3.259573161071e-01 
       9.053157626715e-04       3.409337140243e-01 
       9.479819800938e-04       3.565863514272e-01 
       9.926589943941e-04       3.729440289726e-01 
       1.039441571510e-03       3.900365189574e-01 
       1.088428943559e-03       4.078945602663e-01 
       1.139725019325e-03       4.265498473913e-01 
       1.193438604663e-03       4.460349914035e-01 
       1.249683633289e-03       4.663835194115e-01 
       1.308579408449e-03       4.876298067608e-01 
       1.370250855978e-03       5.098090249982e-01 
       1.434828789286e-03       5.329570736614e-01 
       1.502450186827e-03       5.571104927509e-01 
       1.573258482650e-03       5.823063526661e-01 
       1.647403870647e-03       6.085821216480e-01 
       1.725043623124e-03       6.359755088766e-01 
       1.806342424406e-03       6.645242836064e-01 
       1.891472720151e-03       6.942660610538e-01 
       1.980615083129e-03       7.252380570760e-01 
       2.073958596245e-03       7.574767838958e-01 
       2.171701253604e-03       7.910177295987e-01 
       2.274050380486e-03       8.258949959472e-01 
       2.381223073113e-03       8.621408440343e-01 
       2.493446659134e-03       8.997852494144e-01 
       2.610959179822e-03       9.388553556135e-01 
       2.734009894987e-03       9.793748638343e-01 
       2.862859811694e-03       1.021363415937e+00 
       2.997782237893e-03       1.064835909894e+00 
       3.139063362138e-03       1.109801625193e+00 
       3.287002860635e-03       1.156263547596e+00 
       3.441914532896e-03       1.204217382344e+00 
       3.604126967345e-03       1.253650719447e+00 
       3.773984238305e-03       1.304542044590e+00 
       3.951846635814e-03       1.356859878592e+00 
       4.138091429848e-03       1.410561677950e+00 
       4.333113670534e-03       1.465593100695e+00 
       4.537327026042e-03       1.521886930624e+00 
       4.751164659838e-03       1.579362566974e+00 
       4.975080148993e-03       1.637925168698e+00 
       5.209548445017e-03       1.697465211410e+00 
       5.455066878190e-03       1.757857761180e+00 
       5.712156205140e-03       1.818963473039e+00 
       5.981361696754e-03       1.880628102360e+00 
       6.263254258196e-03       1.942682416873e+00 
       6.558431562524e-03       2.004942994311e+00 
       6.867519160582e-03       2.067213841102e+00 
       7.191171496729e-03       2.129286160374e+00 
       7.530072704257e-03       2.190939577528e+00 
       7.884936964503e-03       2.251943615119e+00 
       8.256508074902e-03       2.312056622910e+00 
       8.645557666719e-03       2.371028573002e+00 
       9.052881226195e-03       2.428596680413e+00 
       9.479290692733e-03       2.484487932194e+00 
       9.925601939390e-03       2.538415544415e+00 
       1.039261492092e-02       2.590075184041e+00 
       1.088108379590e-02       2.639145758517e+00 
       1.139167407410e-02       2.685285205976e+00 
       1.192490411388e-02       2.728133890299e+00 
       1.248106954268e-02       2.767313002354e+00 
       1.306015192574e-02       2.802439865786e+00 
       1.366171767776e-02       2.833135647074e+00 
       1.428481967396e-02       2.859054065024e+00 
       1.492792100706e-02       2.879897892718e+00 
       1.558886502105e-02       2.895457142072e+00 
       1.626491417422e-02       2.905626512940e+00 
       1.695286934301e-02       2.910424825815e+00 
       1.764926168430e-02       2.910003476549e+00 
       1.835058760363e-02       2.904627027298e+00 
       1.905354355797e-02       2.894654842868e+00 
       1.975521843946e-02       2.880513923845e+00 
       2.045321634933e-02       2.862668210127e+00 
       2.114570368999e-02       2.841575375543e+00 
       2.183139227336e-02       2.817686398828e+00 
       2.250947928866e-02       2.791433925626e+00 
       2.317956563857e-02       2.763184551309e+00 
       2.384156963309e-02       2.733290776197e+00 
       2.449564690182e-02       2.702033882746e+00 
       2.514212195473e-02       2.669716454096e+00 
       2.578143298704e-02       2.636538861390e+00 
       2.641408926964e-02       2.602700773832e+00 
       2.704063940089e-02       2.568381901633e+00 
       2.766164838054e-02       2.533731274077e+00 
       2.827768155684e-02       2.498868386275e+00 
       2.888929376710e-02       2.463919888770e+00 
       2.949702230981e-02       2.428974679717e+00 
       3.010138268639e-02       2.394127526487e+00 
       3.070286630818e-02       2.359448935974e+00 
       3.130193957039e-02       2.325013041748e+00 
       3.189904385593e-02       2.290872927659e+00 
       3.249459615342e-02       2.257092951198e+00 
       3.308899006411e-02       2.223729540772e+00 
       3.368259703912e-02       2.190800229153e+00 
       3.427576773646e-02       2.158364700249e+00 
       3.486883342232e-02       2.126458726183e+00 
       3.546210736590e-02       2.095109503868e+00 
       3.605588619481e-02       2.064344957360e+00 
       3.665045119063e-02       2.034197836954e+00 
       3.724606951266e-02       2.004689906328e+00 
       3.784299534431e-02       1.975840142157e+00 
       3.844147096019e-02       1.947657858677e+00 
       3.904172771505e-02       1.920175809772e+00 
       3.964398695723e-02       1.893395502372e+00 
       4.024846087044e-02       1.867333493654e+00 
       4.085535324819e-02       1.841989843385e+00 
       4.146486020563e-02       1.817381097586e+00 
       4.207717083329e-02       1.793506422123e+00 
       4.269246779746e-02       1.770370588811e+00 
       4.331092789152e-02       1.747963545796e+00 
       4.393272254233e-02       1.726306304226e+00 
       4.455801827569e-02       1.705375063625e+00 
       4.518697714421e-02       1.685164453740e+00 
       4.581975712116e-02       1.665672051391e+00 
       4.645651246315e-02       1.646883150706e+00 
       4.709739404439e-02       1.628787488079e+00 
       4.774254966524e-02       1.611381807930e+00 
       4.839212433710e-02       1.594629921098e+00 
       4.904626054591e-02       1.578521175658e+00 
       4.970509849602e-02       1.563030933884e+00 
       5.036877633628e-02       1.548144443309e+00 
       5.103743036975e-02       1.533830977465e+00 
       5.171119524854e-02       1.520054544679e+00 
       5.239020415505e-02       1.506789128382e+00 
       5.307458897075e-02       1.494010625168e+00 
       5.376448043353e-02       1.481679155659e+00 
       5.446000828457e-02       1.469752868509e+00 
       5.516130140571e-02       1.458205104606e+00 
       5.586848794792e-02       1.446994310088e+00 
       5.658169545170e-02       1.436077782449e+00 
       5.730105096009e-02       1.425416463984e+00 
       5.802668112475e-02       1.414960135938e+00 
       5.875871230577e-02       1.404664272924e+00 
       5.949727066567e-02       1.394488182984e+00 
       6.024248225797e-02       1.384386412436e+00 
       6.099447311085e-02       1.374305496930e+00 
