# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -1.591039940986e-05      -1.193284954707e-05      -1.193284996788e-05      -1.591039170336e-05      -1.204638106685e-05       6.121819724724e-01       5.968387644454e-01       2.386569993577e-05       3.208354826467e-08       9.999995747052e-01      -2.901955578863e-10      -1.512372104193e-13      -1.332281500503e-16      -1.608223168432e-13      -5.870292290555e-15 
       1.088428943559e-05      -1.744539871618e-05      -1.308410913793e-05      -1.308410964386e-05      -1.744538945093e-05      -1.320859379755e-05       6.121819485430e-01       5.968387518301e-01       2.616821928772e-05       3.517890908042e-08       9.999995336737e-01      -3.181928562085e-10      -1.818270605080e-13      -1.601774311449e-16      -1.933508784073e-13      -7.057641495710e-15 
       1.139725019325e-05      -1.912849038932e-05      -1.434644004903e-05      -1.434644065729e-05      -1.912847925005e-05      -1.448293455116e-05       6.121819187643e-01       5.968387337018e-01       2.869288131457e-05       3.857290464211e-08       9.999994886833e-01      -3.488910304671e-10      -2.186041349958e-13      -1.925762592342e-16      -2.324587999447e-13      -8.485148522703e-15 
       1.193438604663e-05      -2.097396184542e-05      -1.573055825611e-05      -1.573055898740e-05      -2.097394845309e-05      -1.588022124523e-05       6.121818839408e-01       5.968387120872e-01       3.146111797480e-05       4.229434651467e-08       9.999994393524e-01      -3.825511315671e-10      -2.628198840691e-13      -2.315283951275e-16      -2.794768153973e-13      -1.020138830468e-14 
       1.249683633289e-05      -2.299747791595e-05      -1.724821288009e-05      -1.724821375930e-05      -2.299746181477e-05      -1.741231476927e-05       6.121818227353e-01       5.968386628537e-01       3.449642751859e-05       4.637482870679e-08       9.999993852629e-01      -4.194576144846e-10      -3.159788752254e-13      -2.783552529476e-16      -3.360049736789e-13      -1.226476215285e-14 
       1.308579408449e-05      -2.521621744911e-05      -1.891228865504e-05      -1.891228971209e-05      -2.521619809127e-05      -1.909222242752e-05       6.121817791601e-01       5.968386353044e-01       3.782457942417e-05       5.084898523675e-08       9.999993259539e-01      -4.599265127050e-10      -3.798899943256e-13      -3.346595197926e-16      -4.039665814162e-13      -1.474548016464e-14 
       1.370250855978e-05      -2.764901373774e-05      -2.073691126947e-05      -2.073691254031e-05      -2.764899046450e-05      -2.093420428123e-05       6.121817312428e-01       5.968386035905e-01       4.147382508062e-05       5.575479985220e-08       9.999992609235e-01      -5.042987994732e-10      -4.567280161879e-13      -4.023474771423e-16      -4.856744374298e-13      -1.772795801976e-14 
       1.434828789286e-05      -3.031651798152e-05      -2.273756998731e-05      -2.273757151520e-05      -3.031649000091e-05      -2.295389693604e-05       6.121816782622e-01       5.968385686881e-01       4.547514303040e-05       6.113391790427e-08       9.999991896189e-01      -5.529510226996e-10      -5.491075498545e-13      -4.837310479462e-16      -5.839087823232e-13      -2.131368223063e-14 
       1.502450186827e-05      -3.324137369307e-05      -2.493124848211e-05      -2.493125031905e-05      -3.324134005291e-05      -2.516844561954e-05       6.121816218801e-01       5.968385317730e-01       4.986250063809e-05       6.703200247974e-08       9.999991114344e-01      -6.062995232355e-10      -6.601720858382e-13      -5.815736720725e-16      -7.020124141236e-13      -2.562466815944e-14 
       1.573258482650e-05      -3.644840874950e-05      -2.733656891097e-05      -2.733657111944e-05      -3.644836830541e-05      -2.759664962515e-05       6.121815572244e-01       5.968384905912e-01       5.467314223887e-05       7.349912233308e-08       9.999990257073e-01      -6.647935715321e-10      -7.937009518282e-13      -6.992040215060e-16      -8.440037189209e-13      -3.080760360084e-14 
       1.647403870647e-05      -3.996484590397e-05      -2.997394984045e-05      -2.997395249562e-05      -3.996479727924e-05      -3.025912173907e-05       6.121814872898e-01       5.968384429019e-01       5.994790499123e-05       8.059017757113e-08       9.999989317102e-01      -7.289318814668e-10      -9.542377289085e-13      -8.406289227748e-16      -1.014715134872e-12      -3.703886268702e-14 
       1.725043623124e-05      -4.382053471858e-05      -3.286578024801e-05      -3.286578344022e-05      -4.382047625886e-05      -3.317846389552e-05       6.121814118257e-01       5.968383936746e-01       6.573156688044e-05       8.836536306360e-08       9.999988286432e-01      -7.992572585392e-10      -1.147245262855e-12      -1.010659122691e-15      -1.219954978351e-12      -4.453047463427e-14 
       1.806342424406e-05      -4.804820366837e-05      -3.603660866064e-05      -3.603661249852e-05      -4.804813338480e-05      -3.637945811287e-05       6.121813230490e-01       5.968383352990e-01       7.207322499703e-05       9.689068302099e-08       9.999987156330e-01      -8.763673719854e-10      -1.379291076549e-12      -1.215079865706e-15      -1.466706676122e-12      -5.353735355267e-14 
       1.891472720151e-05      -5.268374268791e-05      -3.951335513929e-05      -3.951335975341e-05      -5.268365818868e-05      -3.988928049254e-05       6.121812719240e-01       5.968383177750e-01       7.902671950682e-05       1.062384973489e-07       9.999985917176e-01      -9.609194483244e-10      -1.658271052392e-12      -1.460899058275e-15      -1.763367296734e-12      -6.436599879485e-14 
       1.980615083129e-05      -5.776649241657e-05      -4.332552830121e-05      -4.332553384859e-05      -5.776639082593e-05      -4.373772030328e-05       6.121811688475e-01       5.968382484646e-01       8.665106769717e-05       1.164881803935e-07       9.999984558499e-01      -1.053626406243e-09      -1.993678272327e-12      -1.756382951028e-15      -2.120031831827e-12      -7.738487495705e-14 
       2.073958596245e-05      -6.333959996457e-05      -4.750549225163e-05      -4.750549892105e-05      -6.333947782597e-05      -4.795744944896e-05       6.121810544459e-01       5.968381722944e-01       9.501099784210e-05       1.277267311460e-07       9.999983068738e-01      -1.155277071700e-09      -2.396925852334e-12      -2.111637219169e-15      -2.548835713323e-12      -9.303697565881e-14 
       2.171701253604e-05      -6.945037083685e-05      -5.208873065482e-05      -5.208873867321e-05      -6.945022399402e-05      -5.258428904781e-05       6.121809305119e-01       5.968380897933e-01       1.041774773464e-04       1.400495529920e-07       9.999981435246e-01      -1.266734481006e-09      -2.881735230992e-12      -2.538747402326e-15      -3.064370656374e-12      -1.118549098978e-13 
       2.274050380486e-05      -7.615067387849e-05      -5.711415059730e-05      -5.711416023755e-05      -7.615049733475e-05      -5.765751618171e-05       6.121807946801e-01       5.968380003945e-01       1.142283204751e-04       1.535612533239e-07       9.999979644157e-01      -1.388945293432e-09      -3.464603008703e-12      -3.052256016929e-15      -3.684178410030e-12      -1.344789912015e-13 
       2.381223073113e-05      -8.349738081575e-05      -6.262441242979e-05      -6.262442401994e-05      -8.349716856394e-05      -6.322019687017e-05       6.121806444579e-01       5.968379006114e-01       1.252488480399e-04       1.683765331767e-07       9.999977680273e-01      -1.522945901433e-09      -4.165362921972e-12      -3.669623217182e-15      -4.429349435793e-12      -1.616790622773e-13 
       2.493446659134e-05      -9.155285073537e-05      -6.866629334722e-05      -6.866630728242e-05      -9.155259555333e-05      -6.931955310289e-05       6.121804844607e-01       5.968377983405e-01       1.373326145648e-04       1.846211553026e-07       9.999975526901e-01      -1.669874045954e-09      -5.007858708484e-12      -4.412169425299e-15      -5.325237664663e-12      -1.943806537379e-13 
       2.610959179822e-05      -1.003854536172e-04      -7.529108031643e-05      -7.529109706924e-05      -1.003851468237e-04      -7.600735949358e-05       6.121802944346e-01       5.968376672156e-01       1.505821941385e-04       2.024330277830e-07       9.999973165821e-01      -1.830977052713e-09      -6.020761825488e-12      -5.304167044497e-15      -6.402331796611e-12      -2.336965044274e-13 
       2.734009894987e-05      -1.100701622233e-04      -8.255501429523e-05      -8.255503443657e-05      -1.100697933774e-04      -8.334039172209e-05       6.121801048204e-01       5.968375436857e-01       1.651100688731e-04       2.219633403582e-07       9.999970576914e-01      -2.007622921461e-09      -7.238534304432e-12      -6.377078203323e-15      -7.697279474292e-12      -2.809644524680e-13 
       2.862859811694e-05      -1.206891707054e-04      -9.051975459626e-05      -9.051977881150e-05      -1.206887272564e-04      -9.138089529603e-05       6.121798800077e-01       5.968373919477e-01       1.810395576230e-04       2.433778983548e-07       9.999967738249e-01      -2.201308550652e-09      -8.702613765754e-12      -7.666885584044e-15      -9.254143568705e-12      -3.377928105624e-13 
       2.997782237893e-05      -1.323326102454e-04      -9.925291607329e-05      -9.925294518634e-05      -1.323320771026e-04      -1.001971278366e-04       6.121796429631e-01       5.968372336589e-01       1.985058903727e-04       2.668584767400e-07       9.999964625745e-01      -2.413681171950e-09      -1.046281890602e-11      -9.217611532041e-15      -1.112590098989e-11      -4.061153308865e-13 
       3.139063362138e-05      -1.450993000511e-04      -1.088286329299e-04      -1.088286679316e-04      -1.450986590767e-04      -1.098639282324e-04       6.121793801792e-01       5.968370591128e-01       2.176573358631e-04       2.926044023609e-07       9.999961212924e-01      -2.646541639032e-09      -1.257904370173e-11      -1.108201062364e-14      -1.337623500885e-11      -4.882567020802e-13 
       3.287002860635e-05      -1.590975915353e-04      -1.193281925276e-04      -1.193282346088e-04      -1.590968209181e-04      -1.204633564553e-04       6.121790932298e-01       5.968368680915e-01       2.386564692177e-04       3.208342284561e-07       9.999957470856e-01      -2.901866775417e-09      -1.512329531433e-11      -1.332349956873e-14      -1.608172129729e-11      -5.870119636786e-13 
       3.441914532896e-05      -1.744462879835e-04      -1.308407259473e-04      -1.308407765400e-04      -1.744453615014e-04      -1.320853906656e-04       6.121787874141e-01       5.968366663573e-01       2.616815530800e-04       3.517875876530e-07       9.999953367782e-01      -3.181825031127e-09      -1.818214625949e-11      -1.601845714693e-14      -1.933441771237e-11      -7.057414341702e-13 
       3.604126967346e-05      -1.912756460980e-04      -1.434639601193e-04      -1.434640209452e-04      -1.912745322310e-04      -1.448286864663e-04       6.121784471371e-01       5.968364420856e-01       2.869280418904e-04       3.857272432287e-07       9.999948868801e-01      -3.488789466187e-09      -2.185967658682e-11      -1.925853779919e-14      -2.324499231588e-11      -8.484848602634e-13 
       3.773984238309e-05      -2.097284810716e-04      -1.573050477990e-04      -1.573051209277e-04      -2.097271419141e-04      -1.588014147357e-04       6.121780553721e-01       5.968361767904e-01       3.146102418554e-04       4.229413178651e-07       9.999943935876e-01      -3.825365640930e-09      -2.628101435990e-11      -2.315349936435e-14      -2.794651460495e-11      -1.020099203360e-12 
       3.951846635827e-05      -2.299614010730e-04      -1.724814948440e-04      -1.724815827641e-04      -2.299597910627e-04      -1.741221976820e-04       6.121776557766e-01       5.968359150708e-01       3.449631655281e-04       4.637456706709e-07       9.999938526988e-01      -4.194414030497e-09      -3.159660589000e-11      -2.783700022108e-14      -3.359895001313e-11      -1.226423982428e-12 
       4.138091429893e-05      -2.521460823618e-04      -1.891221182350e-04      -1.891222239365e-04      -2.521441467101e-04      -1.909210759209e-04       6.121771908740e-01       5.968356015662e-01       3.782444478730e-04       5.084867305154e-07       9.999932596292e-01      -4.599062569632e-09      -3.798730837647e-11      -3.346654377438e-14      -4.039463320125e-11      -1.474479150488e-12 
       4.333113670686e-05      -2.764707878537e-04      -2.073681870274e-04      -2.073683141110e-04      -2.764684607116e-04      -2.093406602236e-04       6.121766925526e-01       5.968352708305e-01       4.147366282220e-04       5.575442527476e-07       9.999926093412e-01      -5.042744934382e-09      -4.567056954159e-11      -4.023657248113e-14      -4.856475667226e-11      -1.772704841429e-12 
