# Matter power spectrum P(k) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039441571510e-05       1.143917653027e+00 
       1.088428943559e-05       1.196891231101e+00 
       1.139725019325e-05       1.252317938615e+00 
       1.193438604663e-05       1.310311373755e+00 
       1.249683633289e-05       1.370990390175e+00 
       1.308579408449e-05       1.434479348122e+00 
       1.370250855978e-05       1.500908369511e+00 
       1.434828789286e-05       1.570413600913e+00 
       1.502450186827e-05       1.643137480055e+00 
       1.573258482650e-05       1.719229062529e+00 
       1.647403870647e-05       1.798844276703e+00 
       1.725043623124e-05       1.882146299699e+00 
       1.806342424406e-05       1.969305835753e+00 
       1.891472720151e-05       2.060501518615e+00 
       1.980615083129e-05       2.155920223876e+00 
       2.073958596245e-05       2.255757501106e+00 
       2.171701253604e-05       2.360217943809e+00 
       2.274050380486e-05       2.469515606832e+00 
       2.381223073113e-05       2.583874474372e+00 
       2.493446659134e-05       2.703528875944e+00 
       2.610959179822e-05       2.828723993837e+00 
       2.734009894987e-05       2.959716370631e+00 
       2.862859811694e-05       3.096774398237e+00 
       2.997782237893e-05       3.240178909467e+00 
       3.139063362138e-05       3.390223719720e+00 
       3.287002860635e-05       3.547216241936e+00 
       3.441914532896e-05       3.711478114388e+00 
       3.604126967346e-05       3.883345840680e+00 
       3.773984238309e-05       4.063171516642e+00 
       3.951846635827e-05       4.251323493701e+00 
       4.138091429893e-05       4.448187165204e+00 
       4.333113670686e-05       4.654165763863e+00 
       4.537327026525e-05       4.869681143160e+00 
       4.751164661317e-05       5.095174668019e+00 
       4.975080153356e-05       5.331108084569e+00 
       5.209548457420e-05       5.577964484113e+00 
       5.455066912219e-05       5.836249293754e+00 
       5.712156295313e-05       6.106491266498e+00 
       5.981361927751e-05       6.389243559361e+00 
       6.263254830773e-05       6.685084880753e+00 
       6.558432937020e-05       6.994620640138e+00 
       6.867522358831e-05       7.318484165413e+00 
       7.191178716309e-05       7.657338032551e+00 
       7.530088527984e-05       8.011875292212e+00 
