# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -1.591039317511e-05      -1.193284485763e-05      -1.193284527644e-05      -1.591038523350e-05      -1.204637632889e-05       6.121934884053e-01       5.968443307695e-01       2.386569055288e-05       3.208356622268e-08       9.999995721398e-01      -2.903492359732e-10      -1.512078411210e-13      -1.329970067124e-16      -1.610680301044e-13      -5.873390376271e-15 
       1.088428943559e-05      -1.744539188025e-05      -1.308410399489e-05      -1.308410449841e-05      -1.744538233232e-05      -1.320858860089e-05       6.121934648739e-01       5.968443177987e-01       2.616820899683e-05       3.517892875429e-08       9.999995308607e-01      -3.183607860440e-10      -1.817917467269e-13      -1.598997335605e-16      -1.936463036086e-13      -7.061366350588e-15 
       1.139725019325e-05      -1.912848293468e-05      -1.434643443871e-05      -1.434643504407e-05      -1.912847145557e-05      -1.448292888183e-05       6.121934361495e-01       5.968443008028e-01       2.869287008815e-05       3.857292607874e-08       9.999994855987e-01      -3.490754852618e-10      -2.185616889980e-13      -1.922420340549e-16      -2.328139647038e-13      -8.489626740179e-15 
       1.193438604663e-05      -2.097395369328e-05      -1.573055211875e-05      -1.573055284656e-05      -2.097393989235e-05      -1.588021504269e-05       6.121934025180e-01       5.968442798930e-01       3.146110569312e-05       4.229436994058e-08       9.999994359703e-01      -3.827529879141e-10      -2.627688457062e-13      -2.311269956820e-16      -2.799038461481e-13      -1.020677265840e-14 
       1.249683633289e-05      -2.299746893660e-05      -1.724820611763e-05      -1.724820699265e-05      -2.299745234424e-05      -1.741230793433e-05       6.121933383134e-01       5.968442290847e-01       3.449641398530e-05       4.637485448338e-08       9.999993815543e-01      -4.196799640117e-10      -3.159175190952e-13      -2.778725710437e-16      -3.365183028585e-13      -1.227123452618e-14 
       1.308579408449e-05      -2.521620755030e-05      -1.891228119734e-05      -1.891228224935e-05      -2.521618760191e-05      -1.909221488906e-05       6.121932940646e-01       5.968442000913e-01       3.782456449871e-05       5.084901362835e-08       9.999993218879e-01      -4.601690859929e-10      -3.798162328079e-13      -3.340768404187e-16      -4.045837872039e-13      -1.475326216324e-14 
       1.370250855978e-05      -2.764900284892e-05      -2.073690306245e-05      -2.073690432724e-05      -2.764897886570e-05      -2.093419598437e-05       6.121932444765e-01       5.968441673023e-01       4.147380865449e-05       5.575483104457e-08       9.999992564648e-01      -5.045653800032e-10      -4.566393315656e-13      -4.016489665610e-16      -4.864164233049e-13      -1.773731335650e-14 
       1.434828789286e-05      -3.031650617472e-05      -2.273756108365e-05      -2.273756260427e-05      -3.031647734057e-05      -2.295388793352e-05       6.121931935326e-01       5.968441343952e-01       4.547512520854e-05       6.113395168472e-08       9.999991847301e-01      -5.532452870828e-10      -5.490009420277e-13      -4.828890078603e-16      -5.848008266276e-13      -2.132492951338e-14 
       1.502450186827e-05      -3.324136075244e-05      -2.493123871827e-05      -2.493124054646e-05      -3.324132608619e-05      -2.516843574582e-05       6.121931359091e-01       5.968440969300e-01       4.986248109291e-05       6.703203944542e-08       9.999991060745e-01      -6.066202159922e-10      -6.600439247064e-13      -5.805612485370e-16      -7.030847795435e-13      -2.563818890978e-14 
       1.573258482650e-05      -3.644839723498e-05      -2.733656020487e-05      -2.733656240283e-05      -3.644835555705e-05      -2.759664081582e-05       6.121931189817e-01       5.968441037901e-01       5.467312480567e-05       7.349915504720e-08       9.999990198284e-01      -6.651479555575e-10      -7.935468112588e-13      -6.980199047401e-16      -8.452931604876e-13      -3.082386554986e-14 
