# Matter power spectrum P(k) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039441571510e-05       1.143917645250e+00 
       1.088428943559e-05       1.196891223558e+00 
       1.139725019325e-05       1.252317929933e+00 
       1.193438604663e-05       1.310311361119e+00 
       1.249683633289e-05       1.370990376510e+00 
       1.308579408449e-05       1.434479333597e+00 
       1.370250855978e-05       1.500908353195e+00 
       1.434828789286e-05       1.570413579498e+00 
       1.502450186827e-05       1.643137459774e+00 
       1.573258482650e-05       1.719229035303e+00 
       1.647403870647e-05       1.798844250474e+00 
       1.725043623124e-05       1.882146267726e+00 
       1.806342424406e-05       1.969305803167e+00 
       1.891472720151e-05       2.060501474659e+00 
       1.980615083129e-05       2.155920179388e+00 
       2.073958596245e-05       2.255757448327e+00 
       2.171701253604e-05       2.360217880380e+00 
       2.274050380486e-05       2.469515542681e+00 
       2.381223073113e-05       2.583874393746e+00 
       2.493446659134e-05       2.703528782164e+00 
       2.610959179822e-05       2.828723894919e+00 
       2.734009894987e-05       2.959716254650e+00 
       2.862859811694e-05       3.096774265757e+00 
       2.997782237893e-05       3.240178758216e+00 
       3.139063362138e-05       3.390223547010e+00 
       3.287002860635e-05       3.547216048369e+00 
       3.441914532896e-05       3.711477889723e+00 
       3.604126967346e-05       3.883345588177e+00 
       3.773984238309e-05       4.063171222676e+00 
       3.951846635827e-05       4.251323150440e+00 
       4.138091429893e-05       4.448186785001e+00 
       4.333113670686e-05       4.654165322180e+00 
       4.537327026525e-05       4.869680644419e+00 
       4.751164661317e-05       5.095174090131e+00 
       4.975080153356e-05       5.331107422458e+00 
       5.209548457420e-05       5.577963725782e+00 
       5.455066912219e-05       5.836248425051e+00 
       5.712156295313e-05       6.106490272676e+00 
       5.981361927751e-05       6.389242419462e+00 
       6.263254830773e-05       6.685083574067e+00 
       6.558432937020e-05       6.994619143111e+00 
       6.867522358831e-05       7.318482455500e+00 
       7.191178716309e-05       7.657336054114e+00 
       7.530088527984e-05       8.011873036179e+00 
       7.884970667002e-05       8.382818388357e+00 
       8.256577885962e-05       8.770930515801e+00 
       8.645698413597e-05       9.177002730142e+00 
       9.053157626715e-05       9.601864826778e+00 
       9.479819800938e-05       1.004638475141e+01 
       9.926589943941e-05       1.051147031828e+01 
       1.039441571510e-04       1.099807101318e+01 
       1.088428943559e-04       1.150717986257e+01 
       1.139725019325e-04       1.203983539846e+01 
       1.193438604663e-04       1.259712367612e+01 
       1.249683633289e-04       1.318018044685e+01 
       1.308579408449e-04       1.379019325756e+01 
       1.370250855978e-04       1.442840386378e+01 
       1.434828789286e-04       1.509611053644e+01 
       1.502450186827e-04       1.579467057365e+01 
       1.573258482650e-04       1.652550287062e+01 
       1.647403870647e-04       1.729009057877e+01 
       1.725043623124e-04       1.808998385991e+01 
       1.806342424406e-04       1.892680279336e+01 
       1.891472720151e-04       1.980224025921e+01 
       1.980615083129e-04       2.071806515210e+01 
       2.073958596245e-04       2.167612528473e+01 
       2.171701253604e-04       2.267835088202e+01 
       2.274050380486e-04       2.372675780264e+01 
       2.381223073113e-04       2.482345098486e+01 
       2.493446659134e-04       2.597062796592e+01 
       2.610959179822e-04       2.717058254034e+01 
       2.734009894987e-04       2.842570822771e+01 
       2.862859811694e-04       2.973850223360e+01 
       2.997782237893e-04       3.111156906718e+01 
       3.139063362138e-04       3.254762427229e+01 
       3.287002860635e-04       3.404949866675e+01 
       3.441914532896e-04       3.562014140362e+01 
       3.604126967346e-04       3.726262444094e+01 
       3.773984238309e-04       3.898014597300e+01 
       3.951846635827e-04       4.077603422840e+01 
       4.138091429893e-04       4.265375065175e+01 
       4.333113670686e-04       4.461689384948e+01 
