# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -2.613525509961e-04      -1.960326929124e-04      -1.960326943778e-04      -2.613522463519e-04      -1.961552855886e-04       6.000831358235e-01       5.989201086735e-01       3.920653887555e-04       1.253829784754e-07       9.999988399647e-01      -9.142157761143e-11      -1.176465578666e-11      -1.755304266794e-15      -1.201514145436e-11      -2.995293666811e-14 
       1.088428943559e-05      -2.865647708440e-04      -2.149455550286e-04      -2.149455567903e-04      -2.865644045825e-04      -2.150799704804e-04       6.000830598108e-01       5.989200479815e-01       4.298911135807e-04       1.374796858761e-07       9.999987280470e-01      -1.002411049955e-10      -1.414413465096e-11      -2.110341054177e-15      -1.444528256045e-11      -3.601111702093e-14 
       1.139725019325e-05      -3.142088924843e-04      -2.356830912825e-04      -2.356830934005e-04      -3.142084521501e-04      -2.358304691897e-04       6.000829739881e-01       5.989199786611e-01       4.713661868010e-04       1.507434594123e-07       9.999986053344e-01      -1.099114214409e-10      -1.700487549521e-11      -2.537105193528e-15      -1.736692489959e-11      -4.329457550026e-14 
       1.193438604663e-05      -3.445194365055e-04      -2.584213433467e-04      -2.584213458931e-04      -3.445189071103e-04      -2.585829331501e-04       6.000828809673e-01       5.989199042494e-01       5.168426917863e-04       1.652868937444e-07       9.999984707820e-01      -1.205145345514e-10      -2.044419038475e-11      -3.050331743595e-15      -2.087947173198e-11      -5.205112329463e-14 
       1.249683633289e-05      -3.777535259658e-04      -2.833533353523e-04      -2.833533384138e-04      -3.777528895003e-04      -2.835305068029e-04       6.000827788362e-01       5.989198222706e-01       5.667066768277e-04       1.812334478506e-07       9.999983232511e-01      -1.321404392136e-10      -2.457911214862e-11      -3.667298547775e-15      -2.510243016064e-11      -6.257868055070e-14 
       1.308579408449e-05      -4.141930653521e-04      -3.106907142632e-04      -3.106907179439e-04      -4.141923001616e-04      -3.108849689825e-04       6.000826667157e-01       5.989197321846e-01       6.213814358878e-04       1.987184912391e-07       9.999981614853e-01      -1.448877708030e-10      -2.955031721803e-11      -4.409003119386e-15      -3.017947343918e-11      -7.523541390828e-14 
       1.370250855978e-05      -4.541471258245e-04      -3.406655462644e-04      -3.406655506896e-04      -4.541462058766e-04      -3.408785304105e-04       6.000825439904e-01       5.989196335666e-01       6.813311013793e-04       2.178904533392e-07       9.999979841133e-01      -1.588645665746e-10      -3.552693555874e-11      -5.300687476805e-15      -3.628333120530e-11      -9.045192985747e-14 
       1.434828789286e-05      -4.979545594100e-04      -3.735322863399e-04      -3.735322916602e-04      -4.979534534080e-04      -3.737658044836e-04       6.000824094487e-01       5.989195255575e-01       7.470645833204e-04       2.389120837736e-07       9.999977896300e-01      -1.741895593103e-10      -4.271229071921e-11      -6.372757965435e-15      -4.362166242863e-11      -1.087459097616e-13 
       1.502450186827e-05      -5.459868649062e-04      -4.095699384492e-04      -4.095699448456e-04      -5.459855352218e-04      -4.098259687757e-04       6.000822617150e-01       5.989194069835e-01       8.191398896912e-04       2.619618337523e-07       9.999975763839e-01      -1.909929287879e-10      -5.135082997222e-11      -7.661707369454e-15      -5.244411913348e-11      -1.307397223991e-13 
       1.573258482650e-05      -5.986513291151e-04      -4.490844243762e-04      -4.490844320663e-04      -5.986497305108e-04      -4.493651353363e-04       6.000820998638e-01       5.989192771894e-01       8.981688641325e-04       2.872353704071e-07       9.999973425655e-01      -2.094164770957e-10      -6.173642739261e-11      -9.211419295097e-15      -6.305083661023e-11      -1.571815842075e-13 
       1.647403870647e-05      -6.563944674747e-04      -4.924111797583e-04      -4.924111890036e-04      -6.563925455900e-04      -4.927189483063e-04       6.000819222803e-01       5.989191342645e-01       9.848223780071e-04       3.149472385221e-07       9.999970861906e-01      -2.296173290492e-10      -7.422244668556e-11      -1.107406556659e-14      -7.580264193882e-11      -1.889710152491e-13 
       1.725043623124e-05      -7.197057970431e-04      -5.399180024273e-04      -5.399180135425e-04      -7.197034864859e-04      -5.402554339953e-04       6.000817278579e-01       5.989189782822e-01       1.079836027085e-03       3.453326807828e-07       9.999968050821e-01      -2.517662260127e-10      -8.923354580880e-11      -1.331385955842e-14      -9.113332131336e-11      -2.271894211957e-13 
       1.806342424406e-05      -7.891219673016e-04      -5.920081730484e-04      -5.920081864117e-04      -7.891191894649e-04      -5.923781234170e-04       6.000815142943e-01       5.989188067638e-01       1.184016372823e-03       3.786496360016e-07       9.999964968535e-01      -2.760517550341e-10      -1.072804078848e-10      -1.600648895539e-14      -1.095643744420e-10      -2.731368698318e-13 
       1.891472720151e-05      -8.652312912708e-04      -6.491238804165e-04      -6.491238964827e-04      -8.652279516598e-04      -6.495294796629e-04       6.000812803894e-01       5.989186192015e-01       1.298247792965e-03       4.151809267081e-07       9.999961588963e-01      -3.026780481056e-10      -1.289768515046e-10      -1.924416813662e-14      -1.317227482775e-10      -3.283763092294e-13 
       1.980615083129e-05      -9.486787029878e-04      -7.117499720296e-04      -7.117499913452e-04      -9.486746880372e-04      -7.121946507426e-04       6.000810228576e-01       5.989184120591e-01       1.423499982690e-03       4.552366625350e-07       9.999957883290e-01      -3.318723756814e-10      -1.550609954306e-10      -2.313563262523e-14      -1.583621397620e-10      -3.947866386805e-13 
       2.073958596245e-05      -1.040171202274e-03      -7.804180765328e-04      -7.804180997548e-04      -1.040166375422e-03      -7.809055945113e-04       6.000807427909e-01       5.989181873111e-01       1.560836199510e-03       4.991568661987e-07       9.999953820191e-01      -3.638826422170e-10      -1.864199718009e-10      -2.781433202683e-14      -1.903886440393e-10      -4.746267522315e-13 
       2.171701253604e-05      -1.140483791854e-03      -8.557111036442e-04      -8.557111315632e-04      -1.140477988864e-03      -8.562455812966e-04       6.000804343512e-01       5.989179398776e-01       1.711422263126e-03       5.473143715195e-07       9.999949365123e-01      -3.989790843611e-10      -2.241202465653e-10      -3.344011276739e-14      -2.288915288228e-10      -5.706120959496e-13 
       2.274050380486e-05      -1.250466016612e-03      -9.382682049809e-04      -9.382682385461e-04      -1.250459040218e-03      -9.388541576875e-04       6.000800960346e-01       5.989176680828e-01       1.876536477092e-03       6.001179760572e-07       9.999944480317e-01      -4.374602931250e-10      -2.694442382654e-10      -4.020241195798e-14      -2.751802817954e-10      -6.860071807995e-13 
       2.381223073113e-05      -1.371049099974e-03      -1.028790193746e-03      -1.028790234100e-03      -1.371040712830e-03      -1.029432569451e-03       6.000797253413e-01       5.989173706971e-01       2.057580468200e-03       6.580159162276e-07       9.999939124299e-01      -4.796501782337e-10      -3.239330679243e-10      -4.833374387391e-14      -3.308291009135e-10      -8.247363928638e-13 
       2.493446659134e-05      -1.503253765188e-03      -1.128045492624e-03      -1.128045541141e-03      -1.503243682116e-03      -1.128749712945e-03       6.000793188410e-01       5.989170443983e-01       2.256091082282e-03       7.214996725495e-07       9.999933251596e-01      -5.259078259890e-10      -3.894399257504e-10      -5.810867507160e-14      -3.977303928148e-10      -9.915174231115e-13 
