# Matter power spectrum P(k) at redshift z=4
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039438893066e-05       1.870901814171e+00 
       1.088426138884e-05       1.957541222483e+00 
       1.139722082470e-05       2.048192764137e+00 
       1.193435529399e-05       2.143042225934e+00 
       1.249680413092e-05       2.242284016405e+00 
       1.308576036488e-05       2.346121517811e+00 
       1.370247325102e-05       2.454767541841e+00 
       1.434825092005e-05       2.568444759303e+00 
       1.502446315298e-05       2.687386146569e+00 
       1.573254428662e-05       2.811835447569e+00 
       1.647399625600e-05       2.942047724301e+00 
       1.725039178014e-05       3.078289813007e+00 
       1.806337769805e-05       3.220840946729e+00 
       1.891467846185e-05       3.369993265794e+00 
       1.980609979461e-05       3.526052388434e+00 
       2.073953252048e-05       3.689338159163e+00 
       2.171695657542e-05       3.860185160538e+00 
       2.274044520691e-05       4.038943508855e+00 
       2.381216937154e-05       4.225979489994e+00 
       2.493440233996e-05       4.421676398047e+00 
       2.610952451876e-05       4.626435181238e+00 
       2.734002849963e-05       4.840675430930e+00 
       2.862852434649e-05       5.064836102199e+00 
       2.997774513178e-05       5.299376476907e+00 
       3.139055273368e-05       5.544777085410e+00 
       3.286994390653e-05       5.801540694339e+00 
       3.441905663736e-05       6.070193312824e+00 
       3.604117680196e-05       6.351285306704e+00 
       3.773974513469e-05       6.645392478702e+00 
       3.951836452669e-05       6.953117274543e+00 
       4.138080766818e-05       7.275089967223e+00 
       4.333102505076e-05       7.611969988207e+00 
       4.537315334696e-05       7.964447286615e+00 
       4.751152418469e-05       8.333243648421e+00 
       4.975067333520e-05       8.719114197872e+00 
       5.209535033404e-05       9.122849000507e+00 
       5.455052855549e-05       9.545274565828e+00 
       5.712141576172e-05       9.987255634740e+00 
       5.981346514918e-05       1.044969678594e+01 
       6.263238691556e-05       1.093354439957e+01 
       6.558416037185e-05       1.143978849299e+01 
       6.867504662531e-05       1.196946475033e+01 
       7.191160186009e-05       1.252365664065e+01 
       7.530069124377e-05       1.310349739632e+01 
       7.884950348932e-05       1.371017266359e+01 
       8.256556610330e-05       1.434492251365e+01 
       8.645676135275e-05       1.500904413046e+01 
       9.053134298449e-05       1.570389431557e+01 
       9.479795373245e-05       1.643089223774e+01 
       9.926564365005e-05       1.719152216588e+01 
       1.039438893066e-04       1.798733651943e+01 
       1.088426138884e-04       1.881995882863e+01 
       1.139722082470e-04       1.969108693153e+01 
