# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -5.513123884543e-04      -4.135664748090e-04      -4.135664838556e-04      -5.513097414341e-04      -4.135729034192e-04      -4.136877511991e-04       5.917566597541e-01       5.912150487576e-01       8.271329677113e-04       1.800673064418e-07       9.999986271462e-01      -6.219053950072e-11       1.963532128525e-10      -1.751408145286e-14      -3.628142208295e-11      -2.994530021304e-15      -3.728016320025e-11      -4.352600139134e-14 
       1.088426138884e-05      -6.044903717885e-04      -4.534665842129e-04      -4.534665950891e-04      -6.044871894416e-04      -4.534736337673e-04      -4.535995516198e-04       5.917565859564e-01       5.912149901041e-01       9.069331901782e-04       1.974398413658e-07       9.999984946994e-01      -6.818959859809e-11       2.152920273657e-10      -1.920350544779e-14      -4.361926243390e-11      -3.600174627244e-15      -4.481998569319e-11      -5.232903828360e-14 
       1.139722082470e-05      -6.627964947261e-04      -4.972161599951e-04      -4.972161730714e-04      -6.627926687189e-04      -4.972238907178e-04      -4.973619444191e-04       5.917564856223e-01       5.912149065306e-01       9.944323461428e-04       2.164884505414e-07       9.999983494756e-01      -7.476704103383e-11       2.360569813774e-10      -2.105586236397e-14      -5.244106956300e-11      -4.328401423829e-15      -5.388464522650e-11      -6.291238216919e-14 
       1.193435529399e-05      -7.267250525091e-04      -5.451866035160e-04      -5.451866192370e-04      -7.267204526990e-04      -5.451950811472e-04      -5.453464392062e-04       5.917563754853e-01       5.912148146291e-01       1.090373238474e-03       2.373748289960e-07       9.999981902433e-01      -8.197953871094e-11       2.588241103782e-10      -2.308685537753e-14      -6.304698206833e-11      -5.203819709699e-15      -6.478249812132e-11      -7.563605561609e-14 
       1.249680413092e-05      -7.968179298250e-04      -5.977851456855e-04      -5.977851645862e-04      -7.968123997472e-04      -5.977944426273e-04      -5.979603855052e-04       5.917562667533e-01       5.912147259710e-01       1.195570329172e-03       2.602762725516e-07       9.999980156515e-01      -8.988678717588e-11       2.837862952478e-10      -2.531370857755e-14      -7.579773802228e-11      -6.256368944719e-15      -7.788425271279e-11      -9.093287307256e-14 
       1.308576036488e-05      -8.736691325920e-04      -6.554582734530e-04      -6.554582961763e-04      -8.736624841490e-04      -6.554684687363e-04      -6.556504002186e-04       5.917561374985e-01       5.912146185449e-01       1.310916592353e-03       2.853872026110e-07       9.999978242127e-01      -9.855695790244e-11       3.111550702452e-10      -2.775529372427e-14      -9.112712851133e-11      -7.521591659869e-15      -9.363556719950e-11      -1.093231674171e-13 
       1.370247325102e-05      -9.579298764008e-04      -7.186955799508e-04      -7.186956072701e-04      -9.579218833623e-04      -7.187067609088e-04      -7.189062188651e-04       5.917559960397e-01       5.912145012291e-01       1.437391214540e-03       3.129207784539e-07       9.999976143077e-01      -1.080631546480e-10       3.411621714232e-10      -3.043231508002e-14      -1.095564611153e-10      -9.042963625275e-15      -1.125722049276e-10      -1.314324606461e-13 
       1.434825092005e-05      -1.050313993099e-03      -7.880338591510e-04      -7.880338919954e-04      -1.050304383631e-03      -7.880461208974e-04      -7.882647913935e-04       5.917558236648e-01       5.912143551221e-01       1.576067783991e-03       3.431107450956e-07       9.999973841514e-01      -1.184861712886e-10       3.740618153179e-10      -3.336745029085e-14      -1.317127101867e-10      -1.087170939726e-14      -1.353382536620e-10      -1.580127676319e-13 
       1.502446315298e-05      -1.151604110277e-03      -8.640617892195e-04      -8.640618287068e-04      -1.151592557455e-03      -8.640752366524e-04      -8.643149668594e-04       5.917556716178e-01       5.912142319864e-01       1.728123657414e-03       3.762133379936e-07       9.999971317946e-01      -1.299141020445e-10       4.101324885497e-10      -3.658558256137e-14      -1.583493108350e-10      -1.307044275221e-14      -1.627080177354e-10      -1.899680963392e-13 
       1.573254428662e-05      -1.262657914486e-03      -9.474246876676e-04      -9.474247351408e-04      -1.262644025400e-03      -9.474394357650e-04      -9.477022499069e-04       5.917554812701e-01       5.912140733336e-01       1.894849470282e-03       4.125096103447e-07       9.999968550897e-01      -1.424436394625e-10       4.496795192916e-10      -4.011396969907e-14      -1.903722301598e-10      -1.571387354176e-14      -1.956123203861e-10      -2.283852652325e-13 
