# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.2
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -5.181077503916e-04      -3.886532765368e-04      -3.886532847455e-04      -5.181054621600e-04      -3.887748761299e-04       5.932777200303e-01       5.926988713178e-01       7.773065694911e-04       1.749055824480e-07       9.999986445918e-01      -6.440733102596e-11      -3.299913205620e-11      -2.995595757656e-15      -3.392145917405e-11      -4.225699683429e-14 
       1.088428943559e-05      -5.680835786301e-04      -4.261498038026e-04      -4.261498136717e-04      -5.680808276103e-04      -4.262831261315e-04       5.932776407161e-01       5.926988072856e-01       8.522996273434e-04       1.917801278612e-07       9.999985138279e-01      -7.062073393801e-11      -3.967315995970e-11      -3.601520483427e-15      -4.078202690960e-11      -5.080342598537e-14 
       1.139725019325e-05      -6.228789016267e-04      -4.672639163236e-04      -4.672639281888e-04      -6.228755942164e-04      -4.674100905604e-04       5.932775481086e-01       5.926987314386e-01       9.345278563775e-04       2.102826957268e-07       9.999983704516e-01      -7.743318981236e-11      -4.769693439763e-11      -4.329971687707e-15      -4.903007135713e-11      -6.107827367768e-14 
       1.193438604663e-05      -6.829582684017e-04      -5.123446252548e-04      -5.123446395197e-04      -6.829542920782e-04      -5.125048891436e-04       5.932774371309e-01       5.926986386767e-01       1.024689279039e-03       2.305703567661e-07       9.999982132397e-01      -8.490178301605e-11      -5.734344451047e-11      -5.205661867661e-15      -5.894617801008e-11      -7.343108763519e-14 
       1.249683633289e-05      -7.488309825140e-04      -5.617746290859e-04      -5.617746462361e-04      -7.488262019978e-04      -5.619503393483e-04       5.932773194790e-01       5.926985412018e-01       1.123549292472e-03       2.528153253482e-07       9.999980408663e-01      -9.309155597566e-11      -6.894077531395e-11      -6.258624902833e-15      -7.086766178834e-11      -8.828206690803e-14 
       1.308579408449e-05      -8.210553658010e-04      -6.159735354972e-04      -6.159735561160e-04      -8.210496184842e-04      -6.161661792175e-04       5.932771915969e-01       5.926984351804e-01       1.231947112232e-03       2.772064387454e-07       9.999978518597e-01      -1.020706544622e-10      -8.288351704014e-11      -7.524262339701e-15      -8.520004784478e-11      -1.061363896396e-13 
       1.370250855978e-05      -9.002434821468e-04      -6.754014341557e-04      -6.754014589446e-04      -9.002365725241e-04      -6.756126412510e-04       5.932770512002e-01       5.926983189082e-01       1.350802917889e-03       3.039507523716e-07       9.999976446201e-01      -1.119161501238e-10      -9.964584905610e-11      -9.046094191043e-15      -1.024308476710e-10      -1.276013803840e-13 
       1.434828789286e-05      -9.870663047756e-04      -7.405628071890e-04      -7.405628369916e-04      -9.870579977737e-04      -7.407943640616e-04       5.932768979668e-01       5.926981921218e-01       1.481125673983e-03       3.332752954965e-07       9.999974173890e-01      -1.227109222949e-10      -1.197979469912e-10      -1.087565081074e-14      -1.231461449506e-10      -1.534071266091e-13 
       1.502450186827e-05      -1.082259362498e-03      -8.120108067121e-04      -8.120108425422e-04      -1.082249375539e-03      -8.122646711920e-04       5.932767320191e-01       5.926980551666e-01       1.624021685084e-03       3.654290001720e-07       9.999971682369e-01      -1.345465117777e-10      -1.440252356461e-10      -1.307521508680e-14      -1.480505129869e-10      -1.844313531076e-13 
       1.573258482650e-05      -1.186628924276e-03      -8.903519443676e-04      -8.903519874442e-04      -1.186616917683e-03      -8.906302620626e-04       5.932765479239e-01       5.926979028376e-01       1.780703974888e-03       4.006848190932e-07       9.999968950480e-01      -1.475230641373e-10      -1.731517162588e-10      -1.571948348297e-14      -1.779909640329e-10      -2.217292068144e-13 
