# Matter power spectrum P(k) at redshift z=99
# for k=1.04892e-05 to 100.192 h/Mpc,
# number of wavenumbers equal to 579
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048916225123e-05       7.035265958113e-03 
       1.098350123840e-05       7.354929342422e-03 
       1.150113770428e-05       7.689117243260e-03 
       1.204316962521e-05       8.038488393852e-03 
       1.261074672358e-05       8.403735184312e-03 
       1.320507290650e-05       8.785577617332e-03 
       1.382740881949e-05       9.184769914728e-03 
       1.447907452046e-05       9.602100336307e-03 
       1.516145227973e-05       1.003839303205e-02 
       1.587598951202e-05       1.049451114953e-02 
       1.662420184659e-05       1.097135195895e-02 
       1.740767634212e-05       1.146985911864e-02 
       1.822807485307e-05       1.199101690348e-02 
       1.908713755466e-05       1.253585440780e-02 
       1.998668663405e-05       1.310544748267e-02 
       2.092863015547e-05       1.370092151427e-02 
       2.191496610739e-05       1.432345090327e-02 
       2.294778664061e-05       1.497426671065e-02 
       2.402928250597e-05       1.565465336831e-02 
       2.516174770118e-05       1.636595391941e-02 
       2.634758433676e-05       1.710957349034e-02 
       2.758930773120e-05       1.788697933323e-02 
       2.888955174630e-05       1.869970811556e-02 
       3.025107437394e-05       1.954936414510e-02 
       3.167676358617e-05       2.043762500889e-02 
       3.316964346093e-05       2.136624462584e-02 
       3.473288059661e-05       2.233705656100e-02 
       3.636979082876e-05       2.335197769997e-02 
       3.808384626343e-05       2.441301197375e-02 
       3.987868264202e-05       2.552225430010e-02 
       4.175810705312e-05       2.668189461642e-02 
       4.372610600789e-05       2.789422285730e-02 
       4.578685389596e-05       2.916163209780e-02 
       4.794472183990e-05       3.048662561356e-02 
       5.020428696691e-05       3.187181654001e-02 
       5.257034211760e-05       3.331994243194e-02 
       5.504790601214e-05       3.483386084403e-02 
       5.764223389573e-05       3.641655925043e-02 
       6.035882868565e-05       3.807116390306e-02 
       6.320345264366e-05       3.980093852850e-02 
       6.618213959855e-05       4.160929891174e-02 
       6.930120774474e-05       4.349981325663e-02 
       7.256727304392e-05       4.547621308154e-02 
       7.598726325849e-05       4.754239834519e-02 
       7.956843264623e-05       4.970244520584e-02 
       8.331837734753e-05       5.196061714183e-02 
       8.724505149788e-05       5.432136953403e-02 
       9.135678409960e-05       5.678935868150e-02 
       9.566229668881e-05       5.936945329280e-02 
       1.001707218350e-04       6.206674198898e-02 
       1.048916225123e-04       6.488654494049e-02 
       1.098350123840e-04       6.783442162682e-02 
       1.150113770428e-04       7.091618325486e-02 
       1.204316962521e-04       7.413790766197e-02 
       1.261074672358e-04       7.750594205440e-02 
       1.320507290650e-04       8.102692392985e-02 
       1.382740881949e-04       8.470779034934e-02 
       1.447907452046e-04       8.855579146354e-02 
       1.516145227973e-04       9.257850458148e-02 
       1.587598951202e-04       9.678384897019e-02 
       1.662420184659e-04       1.011801013289e-01 
       1.740767634212e-04       1.057759107535e-01 
       1.822807485307e-04       1.105803158144e-01 
       1.908713755466e-04       1.156027614074e-01 
       1.998668663405e-04       1.208531173750e-01 
       2.092863015547e-04       1.263416949619e-01 
       2.191496610739e-04       1.320792697915e-01 
       2.294778664061e-04       1.380770976318e-01 
       2.402928250597e-04       1.443469392772e-01 
       2.516174770118e-04       1.509010787789e-01 
       2.634758433676e-04       1.577523488804e-01 
       2.758930773120e-04       1.649141519621e-01 
       2.888955174630e-04       1.724004849232e-01 
       3.025107437394e-04       1.802259652913e-01 
       3.167676358617e-04       1.884058542116e-01 
       3.316964346093e-04       1.969560863825e-01 
       3.473288059661e-04       2.058932948385e-01 
       3.636979082876e-04       2.152348410161e-01 
       3.808384626343e-04       2.249988406855e-01 
       3.987868264202e-04       2.352041983399e-01 
       4.175810705312e-04       2.458706334109e-01 
       4.372610600789e-04       2.570187128699e-01 
       4.578685389596e-04       2.686698825629e-01 
       4.794472183990e-04       2.808464986222e-01 
       5.020428696691e-04       2.935718620036e-01 
       5.257034211760e-04       3.068702440439e-01 
       5.504790601214e-04       3.207669292205e-01 
       5.764223389573e-04       3.352882380944e-01 
       6.035882868565e-04       3.504615587820e-01 
       6.320345264366e-04       3.663153898872e-01 
       6.618213959855e-04       3.828793495341e-01 
       6.930120774474e-04       4.001842244679e-01 
       7.256727304392e-04       4.182619795741e-01 
       7.598726325849e-04       4.371457912858e-01 
       7.956843264623e-04       4.568700634558e-01 
       8.331837734753e-04       4.774704406370e-01 
       8.724505149788e-04       4.989838254256e-01 
       9.135678409960e-04       5.214483843851e-01 
       9.566229668881e-04       5.449035403468e-01 
       1.001707218350e-03       5.693899667403e-01 
       1.048916225123e-03       5.949495721213e-01 
       1.098350123840e-03       6.216254653589e-01 
       1.150113770428e-03       6.494619195800e-01 
       1.204316962521e-03       6.785043084636e-01 
       1.261074672358e-03       7.087990390612e-01 
       1.320507290650e-03       7.403934541839e-01 
       1.382740881949e-03       7.733327695180e-01 
       1.447907452046e-03       8.076667937949e-01 
       1.516145227973e-03       8.434464562017e-01 
       1.587598951202e-03       8.807213701801e-01 
       1.662420184659e-03       9.195412319951e-01 
       1.740767634212e-03       9.599555409402e-01 
       1.822807485307e-03       1.002013269100e+00 
       1.908713755466e-03       1.045762532857e+00 
       1.998668663405e-03       1.091250132149e+00 
       2.092863015547e-03       1.138521127559e+00 
       2.191496610739e-03       1.187618267400e+00 
       2.294778664061e-03       1.238581426686e+00 
       2.402928250597e-03       1.291446973751e+00 
       2.516174770118e-03       1.346246939041e+00 
       2.634758433676e-03       1.403008377010e+00 
       2.758930773120e-03       1.461752373932e+00 
       2.888955174630e-03       1.522493172752e+00 
       3.025107437394e-03       1.585237279926e+00 
       3.167676358617e-03       1.649982250976e+00 
       3.316964346093e-03       1.716715692221e+00 
       3.473288059661e-03       1.785414411780e+00 
       3.636979082875e-03       1.856042829918e+00 
       3.808384626339e-03       1.928552304908e+00 
       3.987868264189e-03       2.002880041431e+00 
       4.175810705266e-03       2.078948275617e+00 
       4.372610600636e-03       2.156662619496e+00 
       4.578685389111e-03       2.235912795899e+00 
       4.794472182503e-03       2.316571181096e+00 
       5.020428692308e-03       2.398492160312e+00 
       5.257034199295e-03       2.481512273386e+00 
       5.504790567012e-03       2.565453547165e+00 
       5.764223298932e-03       2.650116687023e+00 
       6.035882636336e-03       2.735288772650e+00 
       6.320344688654e-03       2.820741060905e+00 
       6.618212577648e-03       2.906228716449e+00 
       6.930117557859e-03       2.991491701366e+00 
       7.256720042425e-03       3.076256012002e+00 
       7.598710407245e-03       3.160229809233e+00 
       7.956809355953e-03       3.243110059333e+00 
       8.331767488393e-03       3.324570792722e+00 
       8.724363509155e-03       3.404267170242e+00 
       9.135400223462e-03       3.481829282986e+00 
       9.565697084469e-03       3.556860749417e+00 
       1.001607758360e-02       3.628933295296e+00 
       1.048734925083e-02       3.697586374925e+00 
       1.098027354805e-02       3.762326751692e+00 
       1.149552267954e-02       3.822631018365e+00 
       1.203362061640e-02       3.877959248024e+00 
       1.259486688662e-02       3.927760627698e+00 
       1.317924445224e-02       3.971500150278e+00 
       1.378631770002e-02       4.008682773284e+00 
       1.441513308742e-02       4.038877627753e+00 
       1.506414204376e-02       4.061750477882e+00 
       1.573117047266e-02       4.077091196599e+00 
       1.641345764360e-02       4.084834292384e+00 
       1.710777626075e-02       4.085071337334e+00 
       1.781062584840e-02       4.078051792772e+00 
       1.851846980927e-02       4.064181819662e+00 
       1.922797251232e-02       4.043990456246e+00 
       1.993619372413e-02       4.018084559817e+00 
       2.064071285486e-02       3.987160866929e+00 
       2.133967680037e-02       3.951893368494e+00 
       2.203178312759e-02       3.912947304832e+00 
       2.271621962130e-02       3.870937963065e+00 
       2.339258191212e-02       3.826403646818e+00 
       2.406078635895e-02       3.779843358949e+00 
       2.472098917339e-02       3.731657962681e+00 
       2.537351728730e-02       3.682212873593e+00 
       2.601881258672e-02       3.631806718196e+00 
       2.665738885444e-02       3.580695793842e+00 
       2.728979968354e-02       3.529109177362e+00 
       2.791661530407e-02       3.477257086766e+00 
       2.853840635484e-02       3.425274684406e+00 
       2.915573290359e-02       3.373355488166e+00 
       2.976913733958e-02       3.321609534949e+00 
       3.037914006565e-02       3.270171353997e+00 
       3.098623717676e-02       3.219122787487e+00 
       3.159089952050e-02       3.168578650894e+00 
       3.219357269766e-02       3.118596528070e+00 
       3.279467768391e-02       3.069237946216e+00 
       3.339461184479e-02       3.020578596810e+00 
       3.399375018373e-02       2.972643886841e+00 
       3.459244671142e-02       2.925507316280e+00 
       3.519103586004e-02       2.879203899627e+00 
       3.578983389121e-02       2.833750864643e+00 
       3.638914026424e-02       2.789208572574e+00 
       3.698923894403e-02       2.745602790270e+00 
       3.759039963656e-02       2.702964853895e+00 
       3.819287894629e-02       2.661320447944e+00 
       3.879692145353e-02       2.620697511874e+00 
       3.940276071290e-02       2.581106989126e+00 
       4.001062017566e-02       2.542555254832e+00 
       4.062071403957e-02       2.505074619168e+00 
       4.123324803089e-02       2.468658204207e+00 
       4.184842012300e-02       2.433296750974e+00 
       4.246642119657e-02       2.399006010863e+00 
       4.308743564571e-02       2.365771708050e+00 
       4.371164193463e-02       2.333590668857e+00 
       4.433921310896e-02       2.302451142535e+00 
       4.497031726568e-02       2.272353518565e+00 
       4.560511798515e-02       2.243279274065e+00 
       4.624377472879e-02       2.215211154382e+00 
       4.688644320520e-02       2.188145996518e+00 
       4.753327570773e-02       2.162052257471e+00 
       4.818442142595e-02       2.136915196716e+00 
       4.884002673331e-02       2.112701825152e+00 
       4.950023545321e-02       2.089392466341e+00 
       5.016518910518e-02       2.066947138513e+00 
       5.083502713316e-02       2.045334762057e+00 
       5.150988711723e-02       2.024507844746e+00 
       5.218990497037e-02       2.004427435975e+00 
       5.287521512139e-02       1.985055204765e+00 
       5.356595068532e-02       1.966344903414e+00 
       5.426224362233e-02       1.948246246265e+00 
       5.496422488600e-02       1.930709602385e+00 
       5.567202456197e-02       1.913694930846e+00 
       5.638577199765e-02       1.897134587483e+00 
       5.710559592385e-02       1.880981870761e+00 
       5.783162456874e-02       1.865177142207e+00 
       5.856398576507e-02       1.849662524495e+00 
       5.930280705089e-02       1.834373582359e+00 
       6.004821576442e-02       1.819245259046e+00 
       6.080033913350e-02       1.804220571844e+00 
       6.155930436005e-02       1.789232963712e+00 
       6.232523869983e-02       1.774226991212e+00 
       6.309826953793e-02       1.759135700395e+00 
       6.387852446031e-02       1.743902942548e+00 
       6.466613132158e-02       1.728467804552e+00 
       6.546121830939e-02       1.712778433792e+00 
       6.626391400563e-02       1.696776229051e+00 
       6.707434744466e-02       1.680409245436e+00 
       6.789264816875e-02       1.663629788008e+00 
       6.871894628099e-02       1.646393661610e+00 
       6.955337249574e-02       1.628661760240e+00 
       7.039605818691e-02       1.610400478132e+00 
       7.124713543405e-02       1.591582888292e+00 
       7.210673706653e-02       1.572188873154e+00 
       7.297499670591e-02       1.552204626597e+00 
       7.385204880650e-02       1.531621797102e+00 
       7.473802869436e-02       1.510439571035e+00 
       7.563307260481e-02       1.488664480623e+00 
       7.653731771841e-02       1.466310749555e+00 
       7.745090219573e-02       1.443402552508e+00 
       7.837396521072e-02       1.419969413666e+00 
       7.930664698300e-02       1.396052110278e+00 
       8.024908880895e-02       1.371697386597e+00 
       8.120143309185e-02       1.346958687552e+00 
       8.216382337084e-02       1.321896670605e+00 
       8.313640434916e-02       1.296576663092e+00 
       8.411932192131e-02       1.271071158402e+00 
       8.511272319951e-02       1.245455781872e+00 
       8.611675653927e-02       1.219808704424e+00 
       8.713157156428e-02       1.194223394034e+00 
       8.815731919058e-02       1.168780869108e+00 
       8.919415165000e-02       1.143561640851e+00 
       9.024222251311e-02       1.118657453330e+00 
       9.130168671143e-02       1.094156461013e+00 
       9.237270055922e-02       1.070139154438e+00 
       9.345542177461e-02       1.046684526718e+00 
       9.455000950039e-02       1.023865216450e+00 
       9.565662432424e-02       1.001757036255e+00 
       9.677542829856e-02       9.804157281430e-01 
       9.790658495994e-02       9.599023891723e-01 
       9.905025934823e-02       9.402601840871e-01 
       1.002066180253e-01       9.215287045355e-01 
       1.013758290934e-01       9.037384448230e-01 
       1.025580622135e-01       8.869027465959e-01 
       1.037534886231e-01       8.710319373141e-01 
       1.049622811539e-01       8.561242599170e-01 
       1.061846142494e-01       8.421649035272e-01 
       1.074206639820e-01       8.291288794144e-01 
       1.086706080709e-01       8.169794198768e-01 
       1.099346258983e-01       8.056709516423e-01 
       1.112128985272e-01       7.951400391001e-01 
       1.125056087180e-01       7.853243053622e-01 
       1.138129409456e-01       7.761461582595e-01 
       1.151350814166e-01       7.675188674638e-01 
       1.164722180861e-01       7.593489518915e-01 
       1.178245406751e-01       7.515334546777e-01 
       1.191922406877e-01       7.439692806300e-01 
       1.205755114285e-01       7.365484396174e-01 
       1.219745480204e-01       7.291608174019e-01 
       1.233895474222e-01       7.216991531323e-01 
       1.248207084471e-01       7.140575388943e-01 
       1.262682317808e-01       7.061389630748e-01 
       1.277323200005e-01       6.978470983346e-01 
       1.292131775938e-01       6.891076416493e-01 
       1.307110109787e-01       6.798553744429e-01 
       1.322260285234e-01       6.700406562238e-01 
       1.337584405666e-01       6.596305447434e-01 
       1.353084594393e-01       6.486118064676e-01 
       1.368762994858e-01       6.369909085083e-01 
       1.384621770866e-01       6.247977669302e-01 
       1.400663106811e-01       6.120780704662e-01 
       1.416889207918e-01       5.988974935544e-01 
       1.433302300482e-01       5.853367049770e-01 
       1.449904632133e-01       5.714934053635e-01 
       1.466698472089e-01       5.574765796937e-01 
       1.483686111437e-01       5.434023413339e-01 
       1.500869863412e-01       5.293907967090e-01 
       1.518252063693e-01       5.155636780085e-01 
       1.535835070706e-01       5.020395112407e-01 
       1.553621265945e-01       4.889322632465e-01 
       1.571613054298e-01       4.763417665602e-01 
       1.589812864395e-01       4.643564186736e-01 
       1.608223148959e-01       4.530488532423e-01 
       1.626846385180e-01       4.424730632556e-01 
       1.645685075104e-01       4.326625949779e-01 
       1.664741746033e-01       4.236292209044e-01 
       1.684018950943e-01       4.153626990286e-01 
       1.703519268926e-01       4.078343698102e-01 
       1.723245305637e-01       4.009927340400e-01 
       1.743199693775e-01       3.947661339059e-01 
       1.763385093573e-01       3.890678309690e-01 
       1.783804193312e-01       3.837973412841e-01 
       1.804459709856e-01       3.788431322190e-01 
       1.825354389212e-01       3.740857130529e-01 
       1.846491007110e-01       3.694581598022e-01 
       1.867872369605e-01       3.648057698413e-01 
       1.889501313712e-01       3.599968614412e-01 
       1.911380708058e-01       3.549309123955e-01 
       1.933513453564e-01       3.495265047857e-01 
       1.955902484160e-01       3.437263755637e-01 
       1.978550767523e-01       3.374994397059e-01 
       2.001461305842e-01       3.308449296668e-01 
       2.024637136627e-01       3.237920042778e-01 
       2.048081333536e-01       3.163971116907e-01 
       2.071797007245e-01       3.087382633035e-01 
       2.095787306348e-01       3.009121629360e-01 
