# Matter power spectrum P(k) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039441571510e-05       4.240018626608e-03 
       1.088428943559e-05       4.436369948023e-03 
       1.139725019325e-05       4.641814053467e-03 
       1.193438604663e-05       4.856772028461e-03 
       1.249683633289e-05       5.081683998121e-03 
       1.308579408449e-05       5.317011813662e-03 
       1.370250855978e-05       5.563237376985e-03 
       1.434828789286e-05       5.820865419256e-03 
       1.502450186827e-05       6.090423886018e-03 
       1.573258482650e-05       6.372466306430e-03 
       1.647403870647e-05       6.667568552813e-03 
       1.725043623124e-05       6.976336714510e-03 
       1.806342424406e-05       7.299403542676e-03 
       1.891472720151e-05       7.637431140479e-03 
       1.980615083129e-05       7.991112305774e-03 
       2.073958596245e-05       8.361172208559e-03 
       2.171701253604e-05       8.748368442396e-03 
       2.274050380486e-05       9.153495637016e-03 
       2.381223073113e-05       9.577383659431e-03 
       2.493446659134e-05       1.002090096803e-02 
       2.610959179822e-05       1.048495684515e-02 
       2.734009894987e-05       1.097050156972e-02 
       2.862859811694e-05       1.147853151646e-02 
       2.997782237893e-05       1.201008726902e-02 
       3.139063362138e-05       1.256625820801e-02 
       3.287002860635e-05       1.314818413339e-02 
       3.441914532896e-05       1.375705762305e-02 
       3.604126967346e-05       1.439412645581e-02 
       3.773984238309e-05       1.506069617135e-02 
       3.951846635827e-05       1.575813281255e-02 
       4.138091429893e-05       1.648786566406e-02 
       4.333113670686e-05       1.725138990006e-02 
       4.537327026525e-05       1.805027013900e-02 
       4.751164661317e-05       1.888614387636e-02 
       4.975080153356e-05       1.976072219759e-02 
       5.209548457420e-05       2.067579956760e-02 
       5.455066912219e-05       2.163324958521e-02 
       5.712156295313e-05       2.263503350889e-02 
       5.981361927751e-05       2.368320561011e-02 
       6.263254830773e-05       2.477991105281e-02 
       6.558432937020e-05       2.592739882738e-02 
       6.867522358831e-05       2.712801764951e-02 
       7.191178716309e-05       2.838422885270e-02 
       7.530088527984e-05       2.969860422465e-02 
       7.884970667002e-05       3.107383613447e-02 
       8.256577885962e-05       3.251274174712e-02 
       8.645698413597e-05       3.401826827985e-02 
       9.053157626715e-05       3.559349796038e-02 
       9.479819800938e-05       3.724165666661e-02 
       9.926589943941e-05       3.896611860881e-02 
       1.039441571510e-04       4.077041491961e-02 
       1.088428943559e-04       4.265823858282e-02 
       1.139725019325e-04       4.463345349867e-02 
       1.193438604663e-04       4.670010229632e-02 
       1.249683633289e-04       4.886241355060e-02 
       1.308579408449e-04       5.112481105515e-02 
