# Matter power spectrum P(k) at redshift z=99
# for k=1.05075e-05 to 219.579 h/Mpc,
# number of wavenumbers equal to 596
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050749306886e-05       8.241310813552e-03 
       1.100269596085e-05       8.605225705277e-03 
       1.152123704613e-05       8.985210389775e-03 
       1.206421621987e-05       9.381974120871e-03 
       1.263278521368e-05       9.796256941740e-03 
       1.322815003864e-05       1.022883417636e-02 
       1.385157354336e-05       1.068051279181e-02 
       1.450437809268e-05       1.115213638978e-02 
       1.518794837257e-05       1.164458551167e-02 
       1.590373432724e-05       1.215878171438e-02 
       1.665325423467e-05       1.269568124382e-02 
       1.743809792708e-05       1.325628874133e-02 
       1.825993016315e-05       1.384165082013e-02 
       1.912049415925e-05       1.445286113204e-02 
       2.002161528699e-05       1.509106013424e-02 
       2.096520494510e-05       1.575744033121e-02 
       2.195326461375e-05       1.645324616284e-02 
       2.298789009998e-05       1.717977597086e-02 
       2.407127598314e-05       1.793838700613e-02 
       2.520572026996e-05       1.873049656583e-02 
       2.639362926886e-05       1.955758240512e-02 
       2.763752269409e-05       2.042118819203e-02 
       2.894003901039e-05       2.132292877335e-02 
       3.030394102949e-05       2.226448685409e-02 
       3.173212177043e-05       2.324762052660e-02 
       3.322761059604e-05       2.427416547990e-02 
       3.479357963863e-05       2.534603843910e-02 
       3.643335052850e-05       2.646524074046e-02 
       3.815040143953e-05       2.763386204866e-02 
       3.994837446694e-05       2.885408437402e-02 
       4.183108335256e-05       3.012818541826e-02 
       4.380252157436e-05       3.145854562615e-02 
       4.586687081713e-05       3.284764645254e-02 
       4.802850984238e-05       3.429808320857e-02 
       5.029202377630e-05       3.581256106052e-02 
       5.266221383541e-05       3.739391004518e-02 
       5.514410751062e-05       3.904508133620e-02 
       5.774296923116e-05       4.076915640694e-02 
       6.046431153117e-05       4.256935497198e-02 
       6.331390674254e-05       4.444903487289e-02 
       6.629779923874e-05       4.641170692945e-02 
       6.942231825583e-05       4.846103292413e-02 
       7.269409131756e-05       5.060083877462e-02 
       7.612005829323e-05       5.283511577651e-02 
       7.970748611814e-05       5.516803436474e-02 
       8.346398420768e-05       5.760394751437e-02 
       8.739752059793e-05       6.014740130751e-02 
       9.151643884696e-05       6.280313897214e-02 
       9.582947573261e-05       6.557611577750e-02 
       1.003457797844e-04       6.847150334512e-02 
       1.050749306886e-04       7.149470302925e-02 
       1.100269596085e-04       7.465135169645e-02 
       1.152123704613e-04       7.794733549192e-02 
       1.206421621987e-04       8.138879889956e-02 
       1.263278521368e-04       8.498215716372e-02 
       1.322815003864e-04       8.873410736978e-02 
       1.385157354336e-04       9.265164020563e-02 
       1.450437809268e-04       9.674205440261e-02 
       1.518794837257e-04       1.010129682073e-01 
       1.590373432724e-04       1.054723335266e-01 
       1.665325423467e-04       1.101284524271e-01 
       1.743809792708e-04       1.149899896184e-01 
       1.825993016315e-04       1.200659888448e-01 
       1.912049415925e-04       1.253658906277e-01 
       2.002161528699e-04       1.308995453141e-01 
       2.096520494510e-04       1.366772355401e-01 
       2.195326461375e-04       1.427096914409e-01 
       2.298789009998e-04       1.490081110312e-01 
       2.407127598314e-04       1.555841774135e-01 
       2.520572026996e-04       1.624500826669e-01 
       2.639362926886e-04       1.696185473974e-01 
       2.763752269409e-04       1.771028401776e-01 
       2.894003901039e-04       1.849168033746e-01 
       3.030394102949e-04       1.930748788851e-01 
       3.173212177043e-04       2.015921254691e-01 
       3.322761059604e-04       2.104842485990e-01 
       3.479357963863e-04       2.197676244784e-01 
       3.643335052850e-04       2.294593286573e-01 
       3.815040143953e-04       2.395771579561e-01 
       3.994837446694e-04       2.501396651413e-01 
       4.183108335256e-04       2.611661821045e-01 
       4.380252157436e-04       2.726768509228e-01 
       4.586687081713e-04       2.846926526973e-01 
       4.802850984238e-04       2.972354376856e-01 
       5.029202377630e-04       3.103279571857e-01 
       5.266221383541e-04       3.239938891469e-01 
       5.514410751062e-04       3.382578732483e-01 
       5.774296923116e-04       3.531455405289e-01 
       6.046431153117e-04       3.686835349712e-01 
       6.331390674254e-04       3.848995627602e-01 
       6.629779923874e-04       4.018223896279e-01 
       6.942231825583e-04       4.194818994586e-01 
       7.269409131756e-04       4.379090950561e-01 
       7.612005829323e-04       4.571361385411e-01 
       7.970748611814e-04       4.771963558436e-01 
       8.346398420768e-04       4.981242603995e-01 
       8.739752059793e-04       5.199555709285e-01 
       9.151643884696e-04       5.427272107748e-01 
       9.582947573261e-04       5.664773106813e-01 
       1.003457797844e-03       5.912452046663e-01 
       1.050749306886e-03       6.170714184322e-01 
       1.100269596085e-03       6.439976386117e-01 
       1.152123704613e-03       6.720666835950e-01 
       1.206421621987e-03       7.013224578942e-01 
       1.263278521368e-03       7.318098815670e-01 
       1.322815003864e-03       7.635748142815e-01 
       1.385157354336e-03       7.966603140312e-01 
       1.450437809268e-03       8.311160559493e-01 
       1.518794837257e-03       8.669909150272e-01 
       1.590373432724e-03       9.043332008068e-01 
       1.665325423467e-03       9.431913910013e-01 
       1.743809792708e-03       9.836139067068e-01 
       1.825993016315e-03       1.025648790329e+00 
       1.912049415925e-03       1.069343401218e+00 
       2.002161528699e-03       1.114744024494e+00 
       2.096520494510e-03       1.161895431899e+00 
       2.195326461375e-03       1.210840423204e+00 
       2.298789009998e-03       1.261619181351e+00 
       2.407127598314e-03       1.314268774313e+00 
       2.520572026996e-03       1.368822314856e+00 
       2.639362926886e-03       1.425308281696e+00 
       2.763752269409e-03       1.483749675625e+00 
       2.894003901039e-03       1.544162983688e+00 
       3.030394102949e-03       1.606557305138e+00 
       3.173212177043e-03       1.670933101107e+00 
       3.322761059604e-03       1.737281280373e+00 
       3.479357963863e-03       1.805581740558e+00 
       3.643335052849e-03       1.875802122294e+00 
       3.815040143950e-03       1.947896783626e+00 
       3.994837446681e-03       2.021805428323e+00 
       4.183108335210e-03       2.097451290897e+00 
       4.380252157286e-03       2.174740880100e+00 
       4.586687081235e-03       2.253561861154e+00 
       4.802850982775e-03       2.333782809094e+00 
       5.029202373312e-03       2.415252420141e+00 
       5.266221371256e-03       2.497798228512e+00 
       5.514410717333e-03       2.581226737052e+00 
       5.774296833674e-03       2.665322773057e+00 
       6.046430923834e-03       2.749855019557e+00 
       6.331390105540e-03       2.834566785207e+00 
       6.629778557755e-03       2.919184549254e+00 
       6.942228644792e-03       3.003418565971e+00 
       7.269401947115e-03       3.086961197925e+00 
       7.611990072654e-03       3.169490941082e+00 
       7.970715032416e-03       3.250674903066e+00 
