# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05075e-05 to 219.579 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.050749306886e-05      -1.583459457358e-05      -1.187599547911e-05      -1.187599589384e-05      -1.583458666284e-05      -1.187758969594e-05      -1.198785769119e-05       6.120857993420e-01       5.968765242638e-01       2.375199178767e-05       3.207203131360e-08       9.999995768847e-01      -2.877244889028e-10       9.830509501534e-10      -4.981580510935e-13      -1.505746665760e-13      -1.320198469753e-16      -1.604369763500e-13      -5.791688206135e-15 
       1.100269596085e-05      -1.736228010064e-05      -1.302176964637e-05      -1.302177014498e-05      -1.736227058984e-05      -1.302351771333e-05      -1.314442394726e-05       6.120857634608e-01       5.968764989557e-01       2.604354028996e-05       3.516628197003e-08       9.999995360634e-01      -3.154834166147e-10       1.077893339685e-09      -5.462192623310e-13      -1.810305013712e-13      -1.587233202073e-16      -1.928876045154e-13      -6.963138385262e-15 
       1.152123704613e-05      -1.903735275673e-05      -1.427808618751e-05      -1.427808678697e-05      -1.903734132225e-05      -1.428000295784e-05      -1.441257374526e-05       6.120857352143e-01       5.968764825088e-01       2.855617357394e-05       3.855905918586e-08       9.999994913034e-01      -3.459204790886e-10       1.181885838515e-09      -5.989173172897e-13      -2.176464705204e-13      -1.908282531270e-16      -2.319018087753e-13      -8.371530877563e-15 
       1.206421621987e-05      -2.087403154054e-05      -1.565560976151e-05      -1.565561048222e-05      -2.087401779328e-05      -1.565771152357e-05      -1.580307218460e-05       6.120857015839e-01       5.968764617861e-01       3.131122096444e-05       4.227916520693e-08       9.999994422251e-01      -3.792937364485e-10       1.295911200838e-09      -6.566995411888e-13      -2.616685134378e-13      -2.294273008544e-16      -2.788071753475e-13      -1.006479002238e-14 
       1.263278521368e-05      -2.288790659677e-05      -1.716603346985e-05      -1.716603433634e-05      -2.288789006893e-05      -1.716833804329e-05      -1.732772249170e-05       6.120856381093e-01       5.968764114097e-01       3.433206867268e-05       4.635818284860e-08       9.999993884127e-01      -4.158867047788e-10       1.420937354483e-09      -7.200563677540e-13      -3.145946291011e-13      -2.758290545476e-16      -3.351998249604e-13      -1.210053406047e-14 
       1.322815003864e-05      -2.509607498139e-05      -1.882218069715e-05      -1.882218173890e-05      -2.509605511056e-05      -1.882470769279e-05      -1.899946881946e-05       6.120855945270e-01       5.968763828714e-01       3.764436347780e-05       5.083073355693e-08       9.999993294079e-01      -4.560099668759e-10       1.558025611186e-09      -7.895257433883e-13      -3.782257700986e-13      -3.316199730073e-16      -4.029986296532e-13      -1.454803517159e-14 
       1.385157354336e-05      -2.751728027786e-05      -2.063810984352e-05      -2.063811109598e-05      -2.751725638791e-05      -2.064088073394e-05      -2.083250196530e-05       6.120855456161e-01       5.968763504910e-01       4.127622219195e-05       5.573478737801e-08       9.999992647104e-01      -5.000049163360e-10       1.708339646201e-09      -8.656973241738e-13      -4.547271775120e-13      -3.986951771276e-16      -4.845106479071e-13      -1.749057644356e-14 
       1.450437809268e-05      -3.017207545164e-05      -2.262923648966e-05      -2.262923799544e-05      -3.017204672962e-05      -2.263227482916e-05      -2.284238268625e-05       6.120854951277e-01       5.968763181296e-01       4.525847599088e-05       6.111197428440e-08       9.999991937710e-01      -5.482448990055e-10       1.873155417468e-09      -9.492177204956e-13      -5.467020262228e-13      -4.793381168167e-16      -5.825095713008e-13      -2.102828650139e-14 
       1.518794837257e-05      -3.308299586259e-05      -2.481246318535e-05      -2.481246499569e-05      -3.308296133116e-05      -2.481579479873e-05      -2.504617270900e-05       6.120854382305e-01       5.968762811658e-01       4.962492999139e-05       6.700794174793e-08       9.999991159876e-01      -6.011373999417e-10       2.053871955612e-09      -1.040795906898e-12      -6.572800244646e-13      -5.762922221974e-16      -7.003300807131e-13      -2.528154577095e-14 
       1.590373432724e-05      -3.627475382278e-05      -2.720632540285e-05      -2.720632757936e-05      -3.627471230690e-05      -2.720997877115e-05      -2.746258205688e-05       6.120854217646e-01       5.968762877945e-01       5.441265515873e-05       7.347273264353e-08       9.999990306983e-01      -6.591361942454e-10       2.252023299147e-09      -1.141209442960e-12      -7.902238788692e-13      -6.928870573706e-16      -8.419813221370e-13      -3.039508708428e-14 
