# Matter power spectrum P(k) at redshift z=99
# for k=1.05618e-05 to 220.714 h/Mpc,
# number of wavenumbers equal to 596
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056178378820e-05       8.456989741556e-03 
       1.105954532297e-05       8.830429088004e-03 
       1.158076563614e-05       9.220357836370e-03 
       1.212655030589e-05       9.627503872463e-03 
       1.269805701467e-05       1.005262911369e-02 
       1.329649800484e-05       1.049652637755e-02 
       1.392314264997e-05       1.096002521635e-02 
       1.457932014737e-05       1.144399081579e-02 
       1.526642233749e-05       1.194932694896e-02 
       1.598590665618e-05       1.247697887295e-02 
       1.673929922617e-05       1.302792852986e-02 
       1.752819809409e-05       1.360320626772e-02 
       1.835427662021e-05       1.420388666540e-02 
       1.921928702784e-05       1.483109123315e-02 
       2.012506412004e-05       1.548599104619e-02 
       2.107352917145e-05       1.616980957795e-02 
       2.206669400361e-05       1.688382260686e-02 
       2.310666525228e-05       1.762936386954e-02 
       2.419564883592e-05       1.840782567175e-02 
       2.533595463470e-05       1.922066213102e-02 
       2.653000139012e-05       2.006938965321e-02 
       2.778032183543e-05       2.095559318184e-02 
       2.908956806792e-05       2.188092823637e-02 
       3.046051717438e-05       2.284712233582e-02 
       3.189607712169e-05       2.385597934264e-02 
       3.339929292496e-05       2.490938287347e-02 
       3.497335310644e-05       2.600929970393e-02 
       3.662159645882e-05       2.715778336872e-02 
       3.834751912723e-05       2.835697810858e-02 
       4.015478202505e-05       2.960912264299e-02 
       4.204721859919e-05       3.091655513994e-02 
       4.402884296134e-05       3.228171520392e-02 
       4.610385840247e-05       3.370715236045e-02 
       4.827666630853e-05       3.519552822007e-02 
       5.055187549639e-05       3.674961786620e-02 
       5.293431198978e-05       3.837232568794e-02 
       5.542902925593e-05       4.006667889735e-02 
       5.804131892463e-05       4.183583991711e-02 
       6.077672201251e-05       4.368311091510e-02 
       6.364104067625e-05       4.561193935829e-02 
       6.664035051977e-05       4.762592418613e-02 
       6.978101348137e-05       4.972882270011e-02 
       7.306969132827e-05       5.192456017423e-02 
       7.651335978710e-05       5.421723275561e-02 
       8.011932334036e-05       5.661111628110e-02 
       8.389523072022e-05       5.911067754286e-02 
       8.784909113245e-05       6.172057805492e-02 
       9.198929124512e-05       6.444568569292e-02 
       9.632461297773e-05       6.729108061832e-02 
       1.008642521289e-04       7.026206743753e-02 
       1.056178378820e-04       7.336418724333e-02 
       1.105954532297e-04       7.660321877265e-02 
       1.158076563614e-04       7.998519845207e-02 
       1.212655030589e-04       8.351642739859e-02 
       1.269805701467e-04       8.720348316989e-02 
       1.329649800484e-04       9.105323124194e-02 
       1.392314264997e-04       9.507283869252e-02 
       1.457932014737e-04       9.926978640288e-02 
       1.526642233749e-04       1.036518824801e-01 
       1.598590665618e-04       1.082272778349e-01 
       1.673929922617e-04       1.130044775529e-01 
       1.752819809409e-04       1.179923592424e-01 
       1.835427662021e-04       1.232001881097e-01 
       1.921928702784e-04       1.286376321520e-01 
       2.012506412004e-04       1.343147782991e-01 
       2.107352917145e-04       1.402421548303e-01 
       2.206669400361e-04       1.464307453616e-01 
       2.310666525228e-04       1.528920064804e-01 
       2.419564883592e-04       1.596378933557e-01 
       2.533595463470e-04       1.666808745270e-01 
       2.653000139012e-04       1.740339553956e-01 
       2.778032183543e-04       1.817106975014e-01 
       2.908956806792e-04       1.897252442421e-01 
