# Matter power spectrum P(k) at redshift z=99
# for k=1.05618e-05 to 220.714 h/Mpc,
# number of wavenumbers equal to 596
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056178378820e-05       8.189062940164e-03 
       1.105954532297e-05       8.550671539557e-03 
       1.158076563614e-05       8.928247128358e-03 
       1.212655030589e-05       9.322494515584e-03 
       1.269805701467e-05       9.734151622423e-03 
       1.329649800484e-05       1.016398581483e-02 
       1.392314264997e-05       1.061280090280e-02 
       1.457932014737e-05       1.108143442622e-02 
       1.526642233749e-05       1.157076155105e-02 
       1.598590665618e-05       1.208169789569e-02 
       1.673929922617e-05       1.261519362438e-02 
       1.752819809409e-05       1.317224684807e-02 
       1.835427662021e-05       1.375389806879e-02 
       1.921928702784e-05       1.436123330076e-02 
       2.012506412004e-05       1.499538656105e-02 
       2.107352917145e-05       1.565754256969e-02 
       2.206669400361e-05       1.634893672919e-02 
       2.310666525228e-05       1.707086056422e-02 
       2.419564883592e-05       1.782466231439e-02 
       2.533595463470e-05       1.861175007969e-02 
       2.653000139012e-05       1.943359225850e-02 
       2.778032183543e-05       2.029172364360e-02 
       2.908956806792e-05       2.118774742678e-02 
       3.046051717438e-05       2.212333642357e-02 
       3.189607712169e-05       2.310023745920e-02 
       3.339929292496e-05       2.412027458911e-02 
       3.497335310644e-05       2.518535238914e-02 
       3.662159645882e-05       2.629745952219e-02 
       3.834751912723e-05       2.745867241473e-02 
       4.015478202505e-05       2.867115907825e-02 
       4.204721859919e-05       2.993718375587e-02 
       4.402884296134e-05       3.125910910976e-02 
       4.610385840247e-05       3.263940412666e-02 
       4.827666630853e-05       3.408064632375e-02 
       5.055187549639e-05       3.558552339979e-02 
       5.293431198978e-05       3.715684810249e-02 
       5.542902925593e-05       3.879755220854e-02 
       5.804131892463e-05       4.051069842486e-02 
       6.077672201251e-05       4.229948500766e-02 
       6.364104067625e-05       4.416725094747e-02 
       6.664035051977e-05       4.611748193916e-02 
       6.978101348137e-05       4.815381724423e-02 
       7.306969132827e-05       5.028005887788e-02 
       7.651335978710e-05       5.250017450693e-02 
       8.011932334036e-05       5.481830576795e-02 
       8.389523072022e-05       5.723877965491e-02 
       8.784909113245e-05       5.976611195392e-02 
       9.198929124512e-05       6.240501840929e-02 
       9.632461297773e-05       6.516042058800e-02 
       1.008642521289e-04       6.803745799860e-02 
       1.056178378820e-04       7.104149932210e-02 
       1.105954532297e-04       7.417814379452e-02 
       1.158076563614e-04       7.745324103776e-02 
       1.212655030589e-04       8.087289722382e-02 
       1.269805701467e-04       8.444348707940e-02 
       1.329649800484e-04       8.817166488598e-02 
       1.392314264997e-04       9.206437784907e-02 
       1.457932014737e-04       9.612887807818e-02 
       1.526642233749e-04       1.003727363199e-01 
       1.598590665618e-04       1.048038550068e-01 
       1.673929922617e-04       1.094304831894e-01 
       1.752819809409e-04       1.142612311268e-01 
       1.835427662021e-04       1.193050865843e-01 
       1.921928702784e-04       1.245714300315e-01 
       2.012506412004e-04       1.300700500562e-01 
       2.107352917145e-04       1.358111658883e-01 
       2.206669400361e-04       1.418054411311e-01 
       2.310666525228e-04       1.480640012231e-01 
       2.419564883592e-04       1.545984593732e-01 
       2.533595463470e-04       1.614209306308e-01 
       2.653000139012e-04       1.685440566618e-01 
       2.778032183543e-04       1.759810237391e-01 
       2.908956806792e-04       1.837455901404e-01 
       3.046051717438e-04       1.918521069501e-01 
       3.189607712169e-04       2.003155414161e-01 
       3.339929292496e-04       2.091515024968e-01 
       3.497335310644e-04       2.183762663544e-01 
       3.662159645882e-04       2.280068048929e-01 
       3.834751912723e-04       2.380608072354e-01 
       4.015478202505e-04       2.485567139767e-01 
       4.204721859919e-04       2.595137413807e-01 
       4.402884296135e-04       2.709519110588e-01 
       4.610385840247e-04       2.828920798990e-01 
       4.827666630853e-04       2.953559693095e-01 
       5.055187549639e-04       3.083661980167e-01 
       5.293431198978e-04       3.219463070306e-01 
       5.542902925593e-04       3.361207927660e-01 
       5.804131892463e-04       3.509151417480e-01 
       6.077672201251e-04       3.663558485695e-01 
       6.364104067626e-04       3.824704641491e-01 
       6.664035051978e-04       3.992875992599e-01 
       6.978101348138e-04       4.168369736776e-01 
       7.306969132827e-04       4.351494276461e-01 
       7.651335978710e-04       4.542569569338e-01 
       8.011932334036e-04       4.741927139650e-01 
       8.389523072022e-04       4.949910461025e-01 
       8.784909113245e-04       5.166874981827e-01 
       9.198929124512e-04       5.393188210351e-01 
       9.632461297773e-04       5.629229715937e-01 
       1.008642521289e-03       5.875391185726e-01 
       1.056178378820e-03       6.132076158285e-01 
       1.105954532297e-03       6.399699900379e-01 
       1.158076563614e-03       6.678689062168e-01 
       1.212655030589e-03       6.969481164119e-01 
       1.269805701467e-03       7.272524048482e-01 
       1.329649800484e-03       7.588275079399e-01 
       1.392314264997e-03       7.917158961997e-01 
       1.457932014737e-03       8.259681192947e-01 
       1.526642233749e-03       8.616324888577e-01 
       1.598590665618e-03       8.987572764406e-01 
       1.673929922617e-03       9.373909377581e-01 
       1.752819809409e-03       9.775819117528e-01 
       1.835427662021e-03       1.019378294504e+00 
       1.921928702784e-03       1.062827544096e+00 
       2.012506412004e-03       1.107976085359e+00 
       2.107352917145e-03       1.154868895140e+00 
       2.206669400361e-03       1.203548988144e+00 
       2.310666525228e-03       1.254056894843e+00 
       2.419564883592e-03       1.306429981413e+00 
       2.533595463470e-03       1.360701862733e+00 
       2.653000139012e-03       1.416901455796e+00 
       2.778032183543e-03       1.475052281250e+00 
       2.908956806792e-03       1.535171512636e+00 
       3.046051717438e-03       1.597268766830e+00 
       3.189607712169e-03       1.661345268688e+00 
       3.339929292496e-03       1.727392649424e+00 
       3.497335310644e-03       1.795391165998e+00 
       3.662159645880e-03       1.865309445078e+00 
       3.834751912718e-03       1.937102309715e+00 
       4.015478202490e-03       2.010709268993e+00 
       4.204721859867e-03       2.086054566026e+00 
       4.402884295964e-03       2.163043868984e+00 
       4.610385839707e-03       2.241564729212e+00 
       4.827666629205e-03       2.321484754288e+00 
       5.055187544795e-03       2.402650758381e+00 
       5.293431185251e-03       2.484888792051e+00 
       5.542902888047e-03       2.568001588601e+00 
       5.804131793270e-03       2.651771737379e+00 
       6.077671947884e-03       2.735960283749e+00 
       6.364103441374e-03       2.820307736488e+00 
       6.664033552768e-03       2.904533975380e+00 
       6.978097869031e-03       2.988340242767e+00 
       7.306961299681e-03       3.071412910067e+00 
       7.651318853600e-03       3.153422286131e+00 
       8.011895949394e-03       3.234024861238e+00 
       8.389447885159e-03       3.312868704129e+00 
       8.784757879837e-03       3.389583728907e+00 
       9.198632800017e-03       3.463799361331e+00 
       9.631895292998e-03       3.535122448222e+00 
       1.008537056629e-02       3.603155809088e+00 
       1.055986552630e-02       3.667480423743e+00 
       1.105613751534e-02       3.727661162949e+00 
       1.157484965980e-02       3.783245517182e+00 
       1.211651018580e-02       3.833764023077e+00 
       1.268139443257e-02       3.878728248686e+00 
       1.326945123626e-02       3.917657569762e+00 
       1.388020025785e-02       3.950089747820e+00 
       1.451263348713e-02       3.975613313001e+00 
       1.516514116284e-02       3.993905070830e+00 
       1.583548670288e-02       4.004764286359e+00 
       1.652085290364e-02       4.008151538819e+00 
       1.721796972921e-02       4.004202368352e+00 
       1.792331375815e-02       3.993227987286e+00 
       1.863334780588e-02       3.975683913959e+00 
       1.934475637196e-02       3.952164799477e+00 
       2.005463499233e-02       3.923315844980e+00 
       2.076060774736e-02       3.889822084074e+00 
       2.146086860036e-02       3.852339260897e+00 
       2.215415959291e-02       3.811506588138e+00 
       2.283970735576e-02       3.767893986469e+00 
       2.351713945555e-02       3.722017118670e+00 
       2.418639725056e-02       3.674325116871e+00 
       2.484765571715e-02       3.625212398504e+00 
       2.550125533532e-02       3.575030977135e+00 
       2.614764738973e-02       3.524056909536e+00 
       2.678735188452e-02       3.472551024080e+00 
       2.742092627493e-02       3.420722648963e+00 
       2.804894294753e-02       3.368732529069e+00 
       2.867197349577e-02       3.316777699511e+00 
       2.929057811854e-02       3.264967852767e+00 
       2.990529879076e-02       3.213434038163e+00 
       3.051665515660e-02       3.162283450333e+00 
       3.112514235091e-02       3.111580801330e+00 
       3.173123015974e-02       3.061431162425e+00 
       3.233536308968e-02       3.011896540271e+00 
       3.293796103551e-02       2.963021257856e+00 
       3.353942032520e-02       2.914883927683e+00 
       3.414011498643e-02       2.867526960460e+00 
       3.474039812648e-02       2.820996218241e+00 
       3.534060335156e-02       2.775309183142e+00 
       3.594104617598e-02       2.730534932340e+00 
       3.654202538936e-02       2.686679355019e+00 
       3.714382436170e-02       2.643770955491e+00 
       3.774671227525e-02       2.601842493096e+00 
       3.835094527767e-02       2.560906056381e+00 
       3.895676755501e-02       2.520983714345e+00 
       3.956441232573e-02       2.482068345542e+00 
       4.017410275866e-02       2.444201558984e+00 
       4.078605281879e-02       2.407376892914e+00 
       4.140046804527e-02       2.371592459734e+00 
       4.201754626653e-02       2.336871434138e+00 
       4.263747825697e-02       2.303183698600e+00 
       4.326044834003e-02       2.270542876140e+00 
       4.388663494210e-02       2.238942626069e+00 
       4.451621110116e-02       2.208382052800e+00 
       4.514934493440e-02       2.178835333048e+00 
       4.578620006816e-02       2.150297697651e+00 
       4.642693603355e-02       2.122757196028e+00 
       4.707170863094e-02       2.096179055333e+00 
       4.772067026589e-02       2.070554273962e+00 
       4.837397025916e-02       2.045853183525e+00 
       4.903175513313e-02       2.022067169320e+00 
       4.969416887662e-02       1.999147125172e+00 
       5.036135319008e-02       1.977057666737e+00 
       5.103344771287e-02       1.955785989403e+00 
       5.171059023416e-02       1.935279793861e+00 
       5.239291688882e-02       1.915509021906e+00 
       5.308056233974e-02       1.896416672009e+00 
       5.377365994755e-02       1.877975705799e+00 
       5.447234192891e-02       1.860130689562e+00 
       5.517673950432e-02       1.842837673632e+00 
       5.588698303626e-02       1.826046599615e+00 
       5.660320215848e-02       1.809705623634e+00 
       5.732552589723e-02       1.793756947699e+00 
       5.805408278491e-02       1.778147784403e+00 
       5.878900096689e-02       1.762819308749e+00 
       5.953040830201e-02       1.747713764941e+00 
       6.027843245719e-02       1.732775139479e+00 
       6.103320099662e-02       1.717946277175e+00 
       6.179484146597e-02       1.703167345350e+00 
       6.256348147202e-02       1.688372975493e+00 
       6.333924875798e-02       1.673509316416e+00 
       6.412227127479e-02       1.658519528191e+00 
       6.491267724883e-02       1.643348365468e+00 
       6.571059524616e-02       1.627939777162e+00 
       6.651615423363e-02       1.612242797955e+00 
       6.732948363692e-02       1.596206900762e+00 
       6.815071339599e-02       1.579792414571e+00 
       6.897997401784e-02       1.562960179177e+00 
       6.981739662691e-02       1.545663415765e+00 
       7.066311301326e-02       1.527879295534e+00 
       7.151725567864e-02       1.509579955033e+00 
       7.237995788060e-02       1.490745149953e+00 
       7.325135367477e-02       1.471362519849e+00 
       7.413157795546e-02       1.451419578492e+00 
       7.502076649456e-02       1.430924500762e+00 
       7.591905597901e-02       1.409882045916e+00 
       7.682658404680e-02       1.388306314949e+00 
       7.774348932164e-02       1.366220277514e+00 
       7.866991144641e-02       1.343654351175e+00 
       7.960599111532e-02       1.320645381762e+00 
       8.055187010510e-02       1.297236677783e+00 
       8.150769130499e-02       1.273479798110e+00 
       8.247359874583e-02       1.249432084637e+00 
       8.344973762818e-02       1.225157081801e+00 
       8.443625434955e-02       1.200723698349e+00 
       8.543329653080e-02       1.176201988897e+00 
       8.644101304177e-02       1.151671747345e+00 
       8.745955402611e-02       1.127205869632e+00 
       8.848907092548e-02       1.102889942017e+00 
       8.952971650301e-02       1.078809086385e+00 
       9.058164486621e-02       1.055035234196e+00 
       9.164501148926e-02       1.031657369934e+00 
       9.271997323470e-02       1.008748617913e+00 
       9.380668837471e-02       9.863845541873e-01 
       9.490531661179e-02       9.646348168887e-01 
       9.601601909906e-02       9.435649082427e-01 
       9.713895846012e-02       9.232318414242e-01 
       9.827429880848e-02       9.036876706745e-01 
       9.942220576674e-02       8.849762586559e-01 
       1.005828464852e-01       8.671304839243e-01 
       1.017563896606e-01       8.501794721707e-01 
       1.029430055541e-01       8.341329970978e-01 
       1.041428660090e-01       8.190045986690e-01 
       1.053561444692e-01       8.047934340847e-01 
       1.065830159960e-01       7.914737977065e-01 
       1.078236572858e-01       7.790299985669e-01 
       1.090782466874e-01       7.674231712773e-01 
       1.103469642191e-01       7.566064485499e-01 
       1.116299915858e-01       7.465320590490e-01 
       1.129275121960e-01       7.371276607493e-01 
       1.142397111789e-01       7.283241947869e-01 
       1.155667754017e-01       7.200387235802e-01 
       1.169088934861e-01       7.121835584646e-01 
       1.182662558264e-01       7.046636425762e-01 
       1.196390546060e-01       6.973792372941e-01 
       1.210274838156e-01       6.902331902057e-01 
       1.224317392705e-01       6.831203173771e-01 
       1.238520186286e-01       6.759366551435e-01 
       1.252885214087e-01       6.685865387849e-01 
       1.267414490090e-01       6.609742347902e-01 
       1.282110047261e-01       6.530197036551e-01 
       1.296973937738e-01       6.446493027588e-01 
       1.312008233032e-01       6.358038338967e-01 
       1.327215024229e-01       6.264315103516e-01 
       1.342596422192e-01       6.165095626893e-01 
       1.358154557778e-01       6.060222859573e-01 
       1.373891582056e-01       5.949829636268e-01 
       1.389809666527e-01       5.834137500575e-01 
       1.405911003362e-01       5.713649000476e-01 
       1.422197805639e-01       5.588884874543e-01 
       1.438672307588e-01       5.460688642621e-01 
       1.455336764851e-01       5.329954670910e-01 
       1.472193454747e-01       5.197694064623e-01 
       1.489244676542e-01       5.065003180346e-01 
       1.506492751739e-01       4.932992711709e-01 
       1.523940024374e-01       4.802817255745e-01 
       1.541588861318e-01       4.675568953727e-01 
       1.559441652603e-01       4.552290744663e-01 
       1.577500811748e-01       4.433927028477e-01 
       1.595768776109e-01       4.321293299376e-01 
       1.614248007235e-01       4.215042522297e-01 
       1.632940991242e-01       4.115674993083e-01 
       1.651850239206e-01       4.023481553847e-01 
       1.670978287563e-01       3.938579965822e-01 
       1.690327698533e-01       3.860859032983e-01 
       1.709901060561e-01       3.790031146375e-01 
       1.729700988772e-01       3.725601018514e-01 
       1.749730125450e-01       3.666906867631e-01 
       1.769991140534e-01       3.613131725553e-01 
       1.790486732134e-01       3.563326346448e-01 
       1.811219627073e-01       3.516444525129e-01 
       1.832192581444e-01       3.471387269799e-01 
       1.853408381198e-01       3.427667417132e-01 
       1.874869842752e-01       3.383546798784e-01 
       1.896579813622e-01       3.337904698959e-01 
       1.918541173084e-01       3.289832218987e-01 
       1.940756832860e-01       3.238614711227e-01 
       1.963229737836e-01       3.183751914950e-01 
       1.985962866802e-01       3.125002493015e-01 
       2.008959233230e-01       3.062376846238e-01 
       2.032221886078e-01       2.996153479230e-01 
       2.055753910632e-01       2.926831915162e-01 
       2.079558429374e-01       2.855128185939e-01 
       2.103638602891e-01       2.781901996591e-01 
       2.127997630817e-01       2.708127736542e-01 
       2.152638752817e-01       2.634815629038e-01 
       2.177565249601e-01       2.562966234847e-01 
       2.202780443990e-01       2.493510560191e-01 
       2.228287702011e-01       2.427257226512e-01 
       2.254090434047e-01       2.364820859332e-01 
       2.280192096021e-01       2.306668058188e-01 
       2.306596190635e-01       2.253042880649e-01 
       2.333306268652e-01       2.203925687189e-01 
       2.360325930228e-01       2.159130183497e-01 
       2.387658826297e-01       2.118235785268e-01 
       2.415308660008e-01       2.080660607647e-01 
       2.443279188221e-01       2.045663418486e-01 
       2.471574223053e-01       2.012411815999e-01 
       2.500197633491e-01       1.980053156391e-01 
       2.529153347059e-01       1.947721405375e-01 
       2.558445351561e-01       1.914676929085e-01 
       2.588077696876e-01       1.880291611294e-01 
       2.618054496832e-01       1.844140660481e-01 
       2.648379931147e-01       1.806032056977e-01 
       2.679058247448e-01       1.765997107300e-01 
       2.710093763364e-01       1.724318606844e-01 
       2.741490868700e-01       1.681472007899e-01 
       2.773254027698e-01       1.638079868959e-01 
       2.805387781380e-01       1.594846267978e-01 
