# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05618e-05 to 220.714 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot              
       1.056178378820e-05      -1.590933368186e-05      -1.193205043582e-05      -1.193205085815e-05      -1.590932564230e-05      -1.347681060133e-05      -1.347681060133e-05      -1.347681060133e-05      -1.212732170564e-05      -1.202786753962e-05       6.111915221426e-01       5.977289649399e-01       2.386410171631e-05       3.223395362840e-08       9.999995826080e-01      -2.707086775295e-10       8.767747887708e-10      -4.469027883025e-13      -1.527432985181e-13      -1.345352584847e-16      -1.627859800338e-13      -9.692974207153e-14      -9.692974207153e-14      -9.692974207153e-14      -5.469950543302e-15 
       1.105954532297e-05      -1.744423062014e-05      -1.308323328802e-05      -1.308323379577e-05      -1.744422095446e-05      -1.477702426911e-05      -1.477702426911e-05      -1.477702426911e-05      -1.329734388237e-05      -1.318829447898e-05       6.111915149588e-01       5.977289670192e-01       2.616646759154e-05       3.534382394815e-08       9.999995423385e-01      -2.968266503563e-10       9.613639574154e-10      -4.900190581215e-13      -1.836377709281e-13      -1.617504624148e-16      -1.957117204716e-13      -1.165351331651e-13      -1.165351331651e-13      -1.165351331651e-13      -6.576325061668e-15 
       1.158076563614e-05      -1.912720948361e-05      -1.434547963678e-05      -1.434548024724e-05      -1.912719786290e-05      -1.620267860036e-05      -1.620267860036e-05      -1.620267860036e-05      -1.458024710828e-05      -1.446067672789e-05       6.111914835514e-01       5.977289445334e-01       2.869096049447e-05       3.875373051457e-08       9.999994981843e-01      -3.254635624663e-10       1.054114053509e-09      -5.372950297891e-13      -2.207810873619e-13      -1.944669353234e-16      -2.352971588635e-13      -1.401060060179e-13      -1.401060060179e-13      -1.401060060179e-13      -7.906479268974e-15 
       1.212655030589e-05      -2.097255631469e-05      -1.572950442911e-05      -1.572950516303e-05      -2.097254234352e-05      -1.776587539175e-05      -1.776587539175e-05      -1.776587539175e-05      -1.598692168503e-05      -1.585581526459e-05       6.111914216443e-01       5.977288928883e-01       3.145901032607e-05       4.249262118297e-08       9.999994497705e-01      -3.568626275328e-10       1.155812349721e-09      -5.891320354785e-13      -2.654371521558e-13      -2.337954457521e-16      -2.828893020997e-13      -1.684444500791e-13      -1.684444500791e-13      -1.684444500791e-13      -9.505675519444e-15 
       1.269805701467e-05      -2.299593754147e-05      -1.724705798523e-05      -1.724705886760e-05      -2.299592074444e-05      -1.947988578331e-05      -1.947988578331e-05      -1.947988578331e-05      -1.752931019778e-05      -1.738555475224e-05       6.111913808172e-01       5.977288629175e-01       3.449411773520e-05       4.659223031974e-08       9.999993966855e-01      -3.912918872926e-10       1.267322215800e-09      -6.459701651748e-13      -3.191255229872e-13      -2.810835870661e-16      -3.401075945991e-13      -2.025146951876e-13      -2.025146951876e-13      -2.025146951876e-13      -1.142833115789e-14 
       1.329649800484e-05      -2.521452760844e-05      -1.891102173861e-05      -1.891102279946e-05      -2.521450741399e-05      -2.135925837591e-05      -2.135925837591e-05      -2.135925837591e-05      -1.922050513825e-05      -1.906288004708e-05       6.111913277624e-01       5.977288215949e-01       3.782204559893e-05       5.108736384316e-08       9.999993384794e-01      -4.290424581818e-10       1.389590181529e-09      -7.082918617011e-13      -3.836731068733e-13      -3.379350919261e-16      -4.088990688383e-13      -2.434763476563e-13      -2.434763476563e-13      -2.434763476563e-13      -1.373987520539e-14 
       1.392314264997e-05      -2.764716077953e-05      -2.073552210874e-05      -2.073552338416e-05      -2.764713650048e-05      -2.341994783208e-05      -2.341994783208e-05      -2.341994783208e-05      -2.107486363472e-05      -2.090203098518e-05       6.111912803343e-01       5.977287876516e-01       4.147104676832e-05       5.601617700767e-08       9.999992746572e-01      -4.704357625619e-10       1.523654126723e-09      -7.766262138238e-13      -4.612763096054e-13      -4.062876946825e-16      -4.916045450677e-13      -2.927228238269e-13      -2.927228238269e-13      -2.927228238269e-13      -1.651895567827e-14 
       1.457932014737e-05      -3.031448619331e-05      -2.273604681694e-05      -2.273604835034e-05      -3.031445700350e-05      -2.567944622350e-05      -2.567944622350e-05      -2.567944622350e-05      -2.310812705796e-05      -2.291861963130e-05       6.111912283451e-01       5.977287505473e-01       4.547209670068e-05       6.142051240206e-08       9.999992046775e-01      -5.158226660118e-10       1.670652070111e-09      -8.515532696085e-13      -5.545758097559e-13      -4.884657864977e-16      -5.910383015421e-13      -3.519300529169e-13      -3.519300529169e-13      -3.519300529169e-13      -1.986014252015e-14 
       1.526642233749e-05      -3.323914583613e-05      -2.492957839588e-05      -2.492958023943e-05      -3.323911074229e-05      -2.815693380125e-05      -2.815693380125e-05      -2.815693380125e-05      -2.533755582527e-05      -2.512976485962e-05       6.111911722676e-01       5.977287106775e-01       4.985916047885e-05       6.734624717999e-08       9.999991279463e-01      -5.655869393470e-10       1.831831822782e-09      -9.337090615904e-13      -6.667463850062e-13      -5.872654780768e-16      -7.105838595782e-13      -4.231127042560e-13      -4.231127042560e-13      -4.231127042560e-13      -2.387712847039e-14 
       1.598590665618e-05      -3.644596852156e-05      -2.733473970957e-05      -2.733474192600e-05      -3.644592632952e-05      -3.087344332207e-05      -3.087344332207e-05      -3.087344332207e-05      -2.778207736547e-05      -2.755423904116e-05       6.111911500887e-01       5.977287075615e-01       5.466948385200e-05       7.384367723393e-08       9.999990438106e-01      -6.201553180365e-10       2.008561554656e-09      -1.023791139300e-12      -8.016049318708e-13      -7.060797623702e-16      -8.543090529962e-13      -5.086925343058e-13      -5.086925343058e-13      -5.086925343058e-13      -2.870659757442e-14 
