# Matter power spectrum P(k) at redshift z=99
# for k=1.05075e-05 to 219.579 h/Mpc,
# number of wavenumbers equal to 596
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050749306886e-05       7.840236452369e-03 
       1.100269596085e-05       8.186440941462e-03 
       1.152123704613e-05       8.547933165471e-03 
       1.206421621987e-05       8.925387861440e-03 
       1.263278521368e-05       9.319509057358e-03 
       1.322815003864e-05       9.731034345025e-03 
       1.385157354336e-05       1.016073141940e-02 
       1.450437809268e-05       1.060940282718e-02 
       1.518794837257e-05       1.107788625702e-02 
       1.590373432724e-05       1.156705841706e-02 
       1.665325423467e-05       1.207782901620e-02 
       1.743809792708e-05       1.261115380359e-02 
       1.825993016315e-05       1.316802845762e-02 
       1.912049415925e-05       1.374949340609e-02 
       2.002161528699e-05       1.435663360431e-02 
       2.096520494510e-05       1.499058352193e-02 
       2.195326461375e-05       1.565252703654e-02 
       2.298789009998e-05       1.634369930434e-02 
       2.407127598314e-05       1.706539152375e-02 
       2.520572026996e-05       1.781895201730e-02 
       2.639362926886e-05       1.860578662325e-02 
       2.763752269409e-05       1.942736388495e-02 
       2.894003901039e-05       2.028522006052e-02 
       3.030394102949e-05       2.118095596391e-02 
       3.173212177043e-05       2.211624412755e-02 
       3.322761059604e-05       2.309283090420e-02 
       3.479357963863e-05       2.411253973902e-02 
       3.643335052850e-05       2.517727457055e-02 
       3.815040143953e-05       2.628902336718e-02 
       3.994837446694e-05       2.744986194878e-02 
       4.183108335256e-05       2.866195716967e-02 
       4.380252157436e-05       2.992757362713e-02 
       4.586687081713e-05       3.124907201270e-02 
       4.802850984238e-05       3.262892133325e-02 
       5.029202377630e-05       3.406969510453e-02 
       5.266221383541e-05       3.557408563583e-02 
       5.514410751062e-05       3.714490047802e-02 
       5.774296923116e-05       3.878507114043e-02 
       6.046431153117e-05       4.049766064597e-02 
       6.331390674254e-05       4.228586342236e-02 
       6.629779923874e-05       4.415301943067e-02 
       6.942231825583e-05       4.610261224786e-02 
