# Matter power spectrum P(k) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       5.850973689514e-03 
       1.148600363139e-05       6.115558660588e-03 
       1.202732230544e-05       6.392107806666e-03 
       1.259415254264e-05       6.681162945936e-03 
       1.318769666591e-05       6.983289246055e-03 
       1.380921366191e-05       7.299077885851e-03 
       1.446002185152e-05       7.629148153466e-03 
       1.514150168616e-05       7.974142791881e-03 
       1.585509867594e-05       8.334738139471e-03 
       1.660232645574e-05       8.711639710670e-03 
       1.738476999587e-05       9.105583465584e-03 
       1.820408896397e-05       9.517344562822e-03 
       1.906202124544e-05       9.947723958091e-03 
       1.996038662965e-05       1.039756362026e-02 
       2.090109067004e-05       1.086774839165e-02 
       2.188612872600e-05       1.135919326661e-02 
       2.291759019531e-05       1.187286133735e-02 
       2.399766294604e-05       1.240975750964e-02 
       2.512863795730e-05       1.297093221700e-02 
       2.631291417873e-05       1.355748320945e-02 
       2.755300361896e-05       1.417055717453e-02 
       2.885153667396e-05       1.481135474978e-02 
       3.021126770644e-05       1.548112856694e-02 
       3.163508088822e-05       1.618118920638e-02 
       3.312599631796e-05       1.691290617057e-02 
       3.468717642716e-05       1.767771085348e-02 
       3.632193268816e-05       1.847709925390e-02 
       3.803373263815e-05       1.931263566164e-02 
       3.982620723435e-05       2.018595337231e-02 
       4.170315855567e-05       2.109876119706e-02 
       4.366856786754e-05       2.205284410865e-02 
       4.572660406660e-05       2.305006933541e-02 
       4.788163252356e-05       2.409238689998e-02 
       5.013822434270e-05       2.518183550930e-02 
       5.250116605782e-05       2.632054589005e-02 
       5.497546978510e-05       2.751074539168e-02 
       5.756638385449e-05       2.875476153752e-02 
       6.027940394210e-05       3.005502718694e-02 
       6.312028472726e-05       3.141408527468e-02 
       6.609505209902e-05       3.283459338638e-02 
       6.921001593779e-05       3.431932914430e-02 
       7.247178349952e-05       3.587119577026e-02 
       7.588727343051e-05       3.749322799001e-02 
       7.946373044283e-05       3.918859710983e-02 
       8.320874068131e-05       4.096061627958e-02 
       8.713024781476e-05       4.281275027855e-02 
       9.123656988559e-05       4.474862063105e-02 
       9.553641695344e-05       4.677200972848e-02 
       1.000389095704e-04       4.888687243589e-02 
       1.047535981271e-04       5.109734114768e-02 
       1.096904831099e-04       5.340773601360e-02 
       1.148600363139e-04       5.582256981047e-02 
       1.202732230545e-04       5.834655966237e-02 
       1.259415254264e-04       6.098463591461e-02 
       1.318769666591e-04       6.374195004842e-02 
       1.380921366191e-04       6.662388668237e-02 
       1.446002185152e-04       6.963606969066e-02 
       1.514150168616e-04       7.278437908507e-02 
       1.585509867594e-04       7.607495738365e-02 
       1.660232645574e-04       7.951422376673e-02 
       1.738476999587e-04       8.310888498998e-02 
       1.820408896397e-04       8.686594963479e-02 
       1.906202124544e-04       9.079273968314e-02 
       1.996038662965e-04       9.489690500733e-02 
       2.090109067004e-04       9.918643784720e-02 
       2.188612872600e-04       1.036696878469e-01 
       2.291759019531e-04       1.083553767965e-01 
       2.399766294604e-04       1.132526164486e-01 
       2.512863795730e-04       1.183709233978e-01 
       2.631291417873e-04       1.237202380734e-01 
       2.755300361896e-04       1.293109413891e-01 
       2.885153667396e-04       1.351538742169e-01 
       3.021126770644e-04       1.412603579896e-01 
       3.163508088822e-04       1.476422120404e-01 
       3.312599631796e-04       1.543117779625e-01 
       3.468717642716e-04       1.612819358124e-01 
       3.632193268816e-04       1.685661314745e-01 
       3.803373263815e-04       1.761783994075e-01 
       3.982620723435e-04       1.841333803109e-01 
       4.170315855568e-04       1.924463513480e-01 
       4.366856786754e-04       2.011332459458e-01 
       4.572660406660e-04       2.102106862998e-01 
       4.788163252356e-04       2.196959969790e-01 
       5.013822434270e-04       2.296072425755e-01 
       5.250116605782e-04       2.399632486239e-01 
       5.497546978510e-04       2.507836258587e-01 
       5.756638385449e-04       2.620888038117e-01 
       6.027940394210e-04       2.739000499099e-01 
       6.312028472726e-04       2.862394975382e-01 
       6.609505209902e-04       2.991301766183e-01 
       6.921001593779e-04       3.125960270376e-01 
       7.247178349952e-04       3.266619371907e-01 
       7.588727343051e-04       3.413537551074e-01 
       7.946373044283e-04       3.566983112946e-01 
       8.320874068131e-04       3.727234391870e-01 
       8.713024781476e-04       3.894579875260e-01 
       9.123656988559e-04       4.069318292872e-01 
       9.553641695344e-04       4.251758871268e-01 
       1.000389095704e-03       4.442221023277e-01 
       1.047535981271e-03       4.641034580405e-01 
       1.096904831099e-03       4.848539608830e-01 
       1.148600363139e-03       5.065086229634e-01 
       1.202732230545e-03       5.291034249103e-01 
       1.259415254264e-03       5.526752817594e-01 
       1.318769666591e-03       5.772619981819e-01 
       1.380921366191e-03       6.029021778410e-01 
       1.446002185152e-03       6.296351638160e-01 
       1.514150168616e-03       6.575009209054e-01 
       1.585509867594e-03       6.865399021187e-01 
       1.660232645574e-03       7.167929044151e-01 
       1.738476999587e-03       7.483009323999e-01 
       1.820408896397e-03       7.811048584763e-01 
       1.906202124544e-03       8.152453513544e-01 
       1.996038662965e-03       8.507624617498e-01 
       2.090109067004e-03       8.876953450867e-01 
       2.188612872600e-03       9.260818735393e-01 
       2.291759019531e-03       9.659582446580e-01 
       2.399766294604e-03       1.007358455470e+00 
       2.512863795730e-03       1.050313804792e+00 
       2.631291417873e-03       1.094852259895e+00 
       2.755300361896e-03       1.140997847710e+00 
       2.885153667396e-03       1.188769863344e+00 
       3.021126770644e-03       1.238182152019e+00 
       3.163508088822e-03       1.289242163368e+00 
       3.312599631796e-03       1.341950164558e+00 
       3.468717642716e-03       1.396298101771e+00 
       3.632193268816e-03       1.452268830362e+00 
       3.803373263814e-03       1.509834872083e+00 
       3.982620723431e-03       1.568957329231e+00 
       4.170315855554e-03       1.629585044327e+00 
       4.366856786707e-03       1.691653570804e+00 
       4.572660406506e-03       1.755084090920e+00 
       4.788163251864e-03       1.819782611301e+00 
       5.013822432762e-03       1.885639585645e+00 
       5.250116601328e-03       1.952527819615e+00 
       5.497546965834e-03       2.020307922548e+00 
       5.756638350631e-03       2.088817858097e+00 
       6.027940301843e-03       2.157883304213e+00 
       6.312028235853e-03       2.227313690031e+00 
       6.609504622134e-03       2.296903792739e+00 
       6.921000181360e-03       2.366434115150e+00 
       7.247175060160e-03       2.435674274019e+00 
       7.588719909568e-03       2.504382107140e+00 
       7.946356736254e-03       2.572306637347e+00 
       8.320839302068e-03       2.639188112920e+00 
       8.712952702774e-03       2.704759864243e+00 
       9.123511543240e-03       2.768746450950e+00 
       9.553355826116e-03       2.830864355669e+00 
       1.000334327259e-02       2.890817912258e+00 
       1.047433630144e-02       2.948298599005e+00 
       1.096718134364e-02       3.002978690695e+00 
       1.148267766018e-02       3.054508466550e+00 
       1.202153254843e-02       3.102517289301e+00 
       1.258430008717e-02       3.146604262010e+00 
       1.317130184694e-02       3.186355677865e+00 
       1.378253084068e-02       3.221343278602e+00 
       1.441754485614e-02       3.251151999935e+00 
       1.507536209159e-02       3.275401034034e+00 
       1.575437942368e-02       3.293784140968e+00 
       1.645233873034e-02       3.306090518820e+00 
       1.716636530373e-02       3.312247087896e+00 
       1.789309116626e-02       3.312328017847e+00 
       1.862885571852e-02       3.306557596136e+00 
       1.936995326311e-02       3.295294524164e+00 
       2.011288192339e-02       3.278993847972e+00 
       2.085454900126e-02       3.258173938696e+00 
       2.159240335812e-02       3.233389898805e+00 
       2.232448768201e-02       3.205177442978e+00 
       2.304942252117e-02       3.174056704883e+00 
       2.376634395220e-02       3.140507384799e+00 
       2.447481770068e-02       3.104940113690e+00 
       2.517474787071e-02       3.067755854820e+00 
       2.586629197025e-02       3.029265185635e+00 
       2.654978813385e-02       2.989754349267e+00 
       2.722569633342e-02       2.949481446813e+00 
       2.789455293640e-02       2.908649715929e+00 
       2.855693681082e-02       2.867423690445e+00 
       2.921344482475e-02       2.825988039457e+00 
       2.986467467311e-02       2.784461055192e+00 
       3.051121324598e-02       2.742953812429e+00 
       3.115362908813e-02       2.701584193593e+00 
       3.179246781784e-02       2.660438057403e+00 
       3.242824964662e-02       2.619576630061e+00 
       3.306146836151e-02       2.579103599809e+00 
       3.369259130286e-02       2.539078230596e+00 
       3.432206000051e-02       2.499542725068e+00 
       3.495029122750e-02       2.460551604268e+00 
       3.557767830186e-02       2.422145993661e+00 
