# Matter power spectrum P(k) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       5.811076095099e-03 
       1.148600363139e-05       6.073856921752e-03 
       1.202732230544e-05       6.348520313415e-03 
       1.259415254264e-05       6.635604447724e-03 
       1.318769666591e-05       6.935670619162e-03 
       1.380921366191e-05       7.249305977423e-03 
       1.446002185152e-05       7.577125693772e-03 
       1.514150168616e-05       7.919767916568e-03 
       1.585509867594e-05       8.277904482769e-03 
       1.660232645574e-05       8.652236093728e-03 
       1.738476999587e-05       9.043493600208e-03 
       1.820408896397e-05       9.452447187970e-03 
       1.906202124544e-05       9.879892035783e-03 
       1.996038662965e-05       1.032666437461e-02 
       2.090109067004e-05       1.079364334023e-02 
       2.188612872600e-05       1.128173736827e-02 
       2.291759019531e-05       1.179190310367e-02 
       2.399766294604e-05       1.232513859877e-02 
       2.512863795730e-05       1.288248715436e-02 
       2.631291417873e-05       1.346503902131e-02 
       2.755300361896e-05       1.407393305219e-02 
       2.885153667396e-05       1.471036176256e-02 
       3.021126770644e-05       1.537556922156e-02 
       3.163508088822e-05       1.607085709625e-02 
       3.312599631796e-05       1.679758557567e-02 
       3.468717642716e-05       1.755717630735e-02 
       3.632193268816e-05       1.835111511938e-02 
       3.803373263815e-05       1.918095567601e-02 
       3.982620723435e-05       2.004832012969e-02 
       4.170315855567e-05       2.095490569683e-02 
       4.366856786754e-05       2.190248516662e-02 
       4.572660406660e-05       2.289291316826e-02 
       4.788163252356e-05       2.392812644345e-02 
       5.013822434270e-05       2.501014985981e-02 
       5.250116605782e-05       2.614109966160e-02 
       5.497546978510e-05       2.732318811125e-02 
       5.756638385449e-05       2.855872696477e-02 
       6.027940394210e-05       2.985013256723e-02 
       6.312028472726e-05       3.119993066211e-02 
       6.609505209902e-05       3.261076082822e-02 
       6.921001593779e-05       3.408538191637e-02 
       7.247178349952e-05       3.562667753356e-02 
       7.588727343051e-05       3.723766190588e-02 
       7.946373044283e-05       3.892148500313e-02 
       8.320874068131e-05       4.068143757467e-02 
       8.713024781476e-05       4.252096112168e-02 
       9.123656988559e-05       4.444365285669e-02 
       9.553641695344e-05       4.645326977470e-02 
       1.000389095704e-04       4.855374023743e-02 
       1.047535981271e-04       5.074916898796e-02 
       1.096904831099e-04       5.304384740988e-02 
       1.148600363139e-04       5.544225813423e-02 
       1.202732230545e-04       5.794908692909e-02 
       1.259415254264e-04       6.056923153797e-02 
       1.318769666591e-04       6.330780928612e-02 
       1.380921366191e-04       6.617016936451e-02 
       1.446002185152e-04       6.916189866212e-02 
       1.514150168616e-04       7.228883870475e-02 
       1.585509867594e-04       7.555709198012e-02 
       1.660232645574e-04       7.897303601995e-02 
       1.738476999587e-04       8.254333427037e-02 
       1.820408896397e-04       8.627495023305e-02 
       1.906202124544e-04       9.017515916759e-02 
       1.996038662965e-04       9.425156247765e-02 
       2.090109067004e-04       9.851210192132e-02 
       2.188612872600e-04       1.029650751801e-01 
       2.291759019531e-04       1.076191499206e-01 
       2.399766294604e-04       1.124833820426e-01 
       2.512863795730e-04       1.175672304881e-01 
