# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       1.096904831099e-05      -1.559024495841e-05      -1.169273199384e-05      -1.169273240881e-05      -1.559023723743e-05      -1.200236495239e-05      -1.173437859724e-05      -1.179082946280e-05       6.111617945485e-01       5.974449292414e-01       2.338546481762e-05       3.173719211388e-08       9.999995944606e-01      -2.647231620634e-10       8.782826292005e-10      -4.486448643279e-13      -1.475797832532e-13      -1.324941094303e-16      -1.572691121440e-13      -2.923224295637e-14      -5.240621361253e-15 
       1.148600363139e-05      -1.709435670068e-05      -1.282082556481e-05      -1.282082606374e-05      -1.709434741799e-05      -1.316032947607e-05      -1.286649014206e-05      -1.292838713793e-05       6.111617740193e-01       5.974449174179e-01       2.564165212748e-05       3.479913692478e-08       9.999995553351e-01      -2.902629049083e-10       9.630172720671e-10      -4.919291681080e-13      -1.774298554401e-13      -1.592931834228e-16      -1.890790039809e-13      -3.514486257082e-14      -6.300610287845e-15 
       1.202732230544e-05      -1.874358019544e-05      -1.405775492515e-05      -1.405775552498e-05      -1.874356903518e-05      -1.443001128843e-05      -1.410782516683e-05      -1.417569364395e-05       6.111617270227e-01       5.974448810092e-01       2.811551104996e-05       3.815649463003e-08       9.999995124349e-01      -3.182672709824e-10       1.055926805542e-09      -5.393894226682e-13      -2.133175094516e-13      -1.915136756991e-16      -2.273228894369e-13      -4.225342623805e-14      -7.574997155781e-15 
       1.259415254264e-05      -2.055191655106e-05      -1.541402130560e-05      -1.541402202675e-05      -2.055190313352e-05      -1.582218957099e-05      -1.546892220662e-05      -1.554333830165e-05       6.111616947756e-01       5.974448580386e-01       3.082804405350e-05       4.183776229169e-08       9.999994653955e-01      -3.489730380352e-10       1.157800055379e-09      -5.914284958072e-13      -2.564640168491e-13      -2.302475778108e-16      -2.733021113224e-13      -5.079977357403e-14      -9.107147066179e-15 
       1.318769666591e-05      -2.253471570631e-05      -1.690113764045e-05      -1.690113850746e-05      -2.253469957491e-05      -1.734868197095e-05      -1.696133527210e-05      -1.704293062061e-05       6.111616543206e-01       5.974448294067e-01       3.380227701492e-05       4.587419193109e-08       9.999994138177e-01      -3.826410094510e-10       1.269501650852e-09      -6.484881876051e-13      -3.083374502120e-13      -2.768178527164e-16      -3.285812489924e-13      -6.107473958776e-14      -1.094919448596e-14 
       1.380921366191e-05      -2.470880921303e-05      -1.853172817093e-05      -1.853172921333e-05      -2.470878981878e-05      -1.902244683706e-05      -1.859773359556e-05      -1.868720073796e-05       6.111616095627e-01       5.974447992019e-01       3.706345842665e-05       5.030004848072e-08       9.999993572638e-01      -4.195561049727e-10       1.391979774674e-09      -7.110528847217e-13      -3.707029155178e-13      -3.328133603648e-16      -3.950413484668e-13      -7.342796086604e-14      -1.316382034958e-14 
       1.446002185152e-05      -2.709265503531e-05      -2.031963706444e-05      -2.031963831767e-05      -2.709263171832e-05      -2.085769470763e-05      -2.039201058290e-05      -2.049010894797e-05       6.111616223505e-01       5.974448271063e-01       4.063927663534e-05       5.515289500120e-08       9.999992952525e-01      -4.600372865036e-10       1.526274273313e-09      -7.796537503763e-13      -4.456827170052e-13      -4.001512194272e-16      -4.749438870105e-13      -8.827960207544e-14      -1.582638536709e-14 
       1.514150168616e-05      -2.970648355921e-05      -2.228003794501e-05      -2.228003945173e-05      -2.970645552602e-05      -2.287000073299e-05      -2.235939393772e-05      -2.246695615114e-05       6.111615713266e-01       5.974447914563e-01       4.456007890346e-05       6.047394278622e-08       9.999992272601e-01      -5.044203623432e-10       1.673524972323e-09      -8.548728794928e-13      -5.358281989548e-13      -4.810874237527e-16      -5.710078310080e-13      -1.061354019475e-13      -1.902749063538e-14 
       1.585509867594e-05      -3.257248495453e-05      -2.442957444344e-05      -2.442957625492e-05      -3.257245125127e-05      -2.507644893793e-05      -2.451658656189e-05      -2.463452558221e-05       6.111615123084e-01       5.974447494639e-01       4.885915250984e-05       6.630835527926e-08       9.999991527075e-01      -5.530852330887e-10       1.834981837294e-09      -9.373489206246e-13      -6.442068270842e-13      -5.783931116001e-16      -6.865019442361e-13      -1.276027856439e-13      -2.287606214258e-14 
       1.660232645574e-05      -3.571498766314e-05      -2.678649409760e-05      -2.678649627545e-05      -3.571494714306e-05      -2.749576965480e-05      -2.688190094326e-05      -2.701121783294e-05       6.111614500328e-01       5.974447040150e-01       5.357299255090e-05       7.270566035721e-08       9.999990709628e-01      -6.064456934158e-10       2.012015517062e-09      -1.027781924170e-12      -7.745066317524e-13      -6.953693951541e-16      -8.253563181840e-13      -1.534122568636e-13      -2.750306102868e-14 
       1.738476999587e-05      -3.916066373521e-05      -2.937080239511e-05      -2.937080501348e-05      -3.916061501927e-05      -3.014849763026e-05      -2.947541396984e-05      -2.961720618595e-05       6.111613304443e-01       5.974446056037e-01       5.874161002697e-05       7.972017413224e-08       9.999989813327e-01      -6.649509910193e-10       2.206128384117e-09      -1.126939565988e-12      -9.311609592184e-13      -8.359921451419e-16      -9.922957964993e-13      -1.844423655358e-13      -3.306592707618e-14 
       1.820408896397e-05      -4.293877167476e-05      -3.220444495828e-05      -3.220444810622e-05      -4.293871310557e-05      -3.305715901983e-05      -3.231914922561e-05      -3.247462032634e-05       6.111613077699e-01       5.974446045088e-01       6.440889621243e-05       8.741141363765e-08       9.999988830522e-01      -7.291066547758e-10       2.418968725202e-09      -1.235663831670e-12      -1.119501096788e-12      -1.005113416745e-15      -1.193000918133e-12      -2.217479941376e-13      -3.975396138018e-14 
       1.906202124544e-05      -4.708137157444e-05      -3.531146895241e-05      -3.531147273705e-05      -4.708130115879e-05      -3.624643704238e-05      -3.543723970057e-05      -3.560770910259e-05       6.111612226767e-01       5.974445453164e-01       7.062294547410e-05       9.584469950411e-08       9.999987752912e-01      -7.994487198985e-10       2.652342592620e-09      -1.354877362481e-12      -1.345935063749e-12      -1.208414438136e-15      -1.434301208539e-12      -2.665996048576e-13      -4.779473070233e-14 
